"","Street_name","Planning_Area","number_of_stations","average_dist"
"1","AIRPORT BOULEVARD","CHANGI",NA,NA
"2","ALBERT STREET","ROCHOR",3,368.053829273914
"3","ALEXANDRA ROAD","BUKIT MERAH",1,266.616106632689
"4","ANG MO KIO AVENUE 3","ANG MO KIO",NA,NA
"5","ANSON ROAD","DOWNTOWN CORE",1,216.975220623856
"6","BALESTIER ROAD","NOVENA",NA,NA
"7","BATTERY ROAD","DOWNTOWN CORE",1,157.026612213462
"8","BAYFRONT AVENUE","DOWNTOWN CORE",1,33.5357687974508
"9","BEACH ROAD","DOWNTOWN CORE",1,166.194558344949
"10","BEDOK NORTH STREET 1","BEDOK",1,281.915304622716
"11","BEDOK ROAD","BEDOK",NA,NA
"12","BENCOOLEN STREET","ROCHOR",3,331.210264377049
"13","BIDADARI PARK DRIVE","TOA PAYOH",1,197.275658397012
"14","BRAS BASAH ROAD","MUSEUM",4,330.52561768447
"15","BROOKE ROAD","MARINE PARADE",1,177.408583834768
"16","BUKIT TIMAH ROAD","CENTRAL WATER CATCHMENT",NA,NA
"17","CAVAN ROAD","KALLANG",2,381.914473561465
"18","CECIL STREET","DOWNTOWN CORE",3,340.185443369777
"19","CENTRAL BOULEVARD","DOWNTOWN CORE",1,196.548780133578
"20","CHANGI BUSINESS PARK CENTRAL 1","TAMPINES",NA,NA
"21","CHANGI ROAD","GEYLANG",1,274.518034717011
"22","CHIN SWEE ROAD","OUTRAM",1,497.37745978534
"23","CHOA CHU KANG AVENUE 4","CHOA CHU KANG",NA,NA
"24","CHOA CHU KANG NORTH 6","CHOA CHU KANG",1,133.551438103093
"25","CLAYMORE DRIVE","ORCHARD",1,468.482332737983
"26","CLEMENCEAU AVENUE","MUSEUM",1,312.867150921875
"27","CLEMENTI AVENUE 3","CLEMENTI",1,274.728379238151
"28","COLEMAN STREET","DOWNTOWN CORE",1,240.878253115879
"29","COLLYER QUAY","DOWNTOWN CORE",1,150.643956260514
"30","COMMONWEALTH AVENUE WEST","QUEENSTOWN",1,459.672171502277
"31","COMPASSVALE BOW","SENGKANG",1,161.286993876594
"32","CROSS STREET","OUTRAM",3,282.389642935959
"33","CUSCADEN ROAD","ORCHARD",1,401.03903437022
"34","EAST COAST ROAD","BEDOK",NA,NA
"35","EASTWOOD ROAD","BEDOK",NA,NA
"36","ENG HOON STREET","BUKIT MERAH",NA,NA
"37","ENGGOR STREET","DOWNTOWN CORE",1,312.613316472346
"38","EU TONG SEN STREET","OUTRAM",3,371.392016879811
"39","FOCH ROAD","KALLANG",1,319.119791716363
"40","GEYLANG ROAD","GEYLANG",1,486.033970104167
"41","GOLDHILL PLAZA","NOVENA",1,292.888548309913
"42","GOPENG STREET","DOWNTOWN CORE",1,179.135770702755
"43","GUILLEMARD ROAD","GEYLANG",NA,NA
"44","HANDY ROAD","MUSEUM",3,287.719601595901
"45","HAVELOCK ROAD","BUKIT MERAH",1,328.877848017384
"46","HIGH STREET","DOWNTOWN CORE",2,420.44873059017
"47","HOLLAND AVENUE","QUEENSTOWN",1,375.106380228338
"48","HOUGANG AVENUE 10","HOUGANG",NA,NA
"49","HOUGANG STREET 51","HOUGANG",NA,NA
"50","HOUGANG STREET 91","HOUGANG",NA,NA
"51","IRRAWADDY ROAD","NOVENA",1,89.2999915420003
"52","JALAN ANAK BUKIT","BUKIT TIMAH",1,277.585762720954
"53","JALAN BESAR","KALLANG",NA,NA
"54","JALAN JURONG KECHIL","BUKIT TIMAH",1,186.65572093879
"55","JALAN LEGUNDI","SEMBAWANG",NA,NA
"56","JALAN MASJID","BEDOK",1,147.216917469275
"57","JALAN SULTAN","KALLANG",2,469.922797826168
"58","JELEBU ROAD","BUKIT PANJANG",3,318.541776161324
"59","JOO CHIAT ROAD","GEYLANG",NA,NA
"60","JOO KOON CIRCLE","PIONEER",NA,NA
"61","JURONG EAST STREET 21","JURONG EAST",1,480.837833484223
"62","JURONG GATEWAY ROAD","JURONG EAST",1,284.607456308615
"63","JURONG WEST CENTRAL 2","JURONG WEST",1,221.191313509108
"64","JURONG WEST CENTRAL 3","JURONG WEST",1,220.684148950736
"65","KALLANG AVENUE","KALLANG",2,408.870240282292
"66","KELANTAN LANE","ROCHOR",1,225.739827868043
"67","KEPPEL ROAD","BUKIT MERAH",NA,NA
"68","KITCHENER ROAD","KALLANG",NA,NA
"69","KOEK ROAD","ORCHARD",1,229.080306341472
"70","LAVENDER STREET","KALLANG",1,204.341447489824
"71","LORONG 22 GEYLANG","GEYLANG",NA,NA
"72","LORONG 4 TOA PAYOH","TOA PAYOH",NA,NA
"73","LORONG KILAT","BUKIT TIMAH",1,270.484189908301
"74","LORONG LIPUT","QUEENSTOWN",1,237.580635813689
"75","MACPHERSON ROAD","GEYLANG",1,452.884195512269
"76","MAJU AVENUE","SERANGOON",NA,NA
"77","MARINA BOULEVARD","DOWNTOWN CORE",1,437.318371209488
"78","MARINA VIEW","DOWNTOWN CORE",3,280.677019819693
"79","MARINE PARADE ROAD","BEDOK",1,346.110523056149
"80","MARITIME SQUARE","BUKIT MERAH",1,206.361781521152
"81","MARKET STREET","BEDOK",1,497.253858044363
"82","MARNE ROAD","KALLANG",1,414.145685365912
"83","MERCHANT ROAD","SINGAPORE RIVER",2,335.261313854149
"84","MIDDLE ROAD","ROCHOR",3,365.606860731169
"85","MOHAMED SULTAN ROAD","RIVER VALLEY",1,390.876583843836
"86","MOUNTBATTEN ROAD","KALLANG",1,440.44512100617
"87","NEW BRIDGE ROAD","OUTRAM",2,307.838682555903
"88","NEW UPPER CHANGI ROAD","BEDOK",NA,NA
"89","NORTH BRIDGE ROAD","ROCHOR",NA,NA
"90","NORTH BUONA VISTA DRIVE","QUEENSTOWN",1,223.40012368104
"91","NORTHPOINT DRIVE","YISHUN",1,290.919569085666
"92","OCEAN WAY","SOUTHERN ISLANDS",NA,NA
"93","ORCHARD ROAD","ORCHARD",1,424.870502105199
"94","ORCHARD TURN","ORCHARD",1,233.800770539517
"95","OUTRAM ROAD","OUTRAM",1,33.0557267554954
"96","PASIR PANJANG ROAD","QUEENSTOWN",NA,NA
"97","PASIR RIS CENTRAL","PASIR RIS",NA,NA
"98","PASIR RIS CLOSE","PASIR RIS",NA,NA
"99","PAYA LEBAR ROAD","TOA PAYOH",1,17.4639551486933
"100","PENANG ROAD","MUSEUM",1,286.079493682814
"101","PETIR ROAD","BUKIT PANJANG",1,147.522674980255
"102","PUNGGOL CENTRAL","PUNGGOL",3,403.586110617636
"103","QUEENSWAY","QUEENSTOWN",NA,NA
"104","RACE COURSE ROAD","KALLANG",NA,NA
"105","RAFFLES AVENUE","DOWNTOWN CORE",1,429.543059156394
"106","RAFFLES BOULEVARD","DOWNTOWN CORE",1,319.385660709557
"107","RAFFLES LINK","DOWNTOWN CORE",2,291.046728525244
"108","RAFFLES PLACE","DOWNTOWN CORE",2,198.568457830525
