"...1","Street_name","longitude","latitude","Planning_Area","Number_of_Malls","Number_of_Schools","total_pop"
0,"AIRPORT BOULEVARD",103.9849678239,1.34910508925639,"CHANGI",1,1,1830
1,"ANG MO KIO AVENUE 3",103.856036447479,1.36930582535665,"ANG MO KIO",3,10,160450
2,"BAYFRONT AVENUE",103.858906543669,1.28162728286943,"DOWNTOWN CORE",17,1,4170
3,"BEDOK ROAD",103.948260304303,1.33143623119911,"BEDOK",3,15,277660
4,"BIDADARI PARK DRIVE",103.872542786561,1.33877974857702,"TOA PAYOH",2,8,140030
5,"BRAS BASAH ROAD",103.85178047489,1.29609874343828,"MUSEUM",1,1,530
6,"CHANGI BUSINESS PARK CENTRAL 1",103.966052238153,1.33686348295857,"TAMPINES",7,14,284950
7,"CHOA CHU KANG AVENUE 4",103.740186042782,1.38237896706781,"CHOA CHU KANG",8,8,190640
8,"CHOA CHU KANG NORTH 6",103.747566291981,1.39634622117813,"CHOA CHU KANG",8,8,190640
9,"COMMONWEALTH AVENUE WEST",103.77463507603,1.31242383474124,"QUEENSTOWN",4,4,102040
10,"GOPENG STREET",103.844533000164,1.27548014509447,"DOWNTOWN CORE",17,1,4170
11,"GUILLEMARD ROAD",103.883633824841,1.31108594711138,"GEYLANG",3,7,116820
12,"HOLLAND AVENUE",103.795140758955,1.30911430690669,"QUEENSTOWN",4,4,102040
13,"HOUGANG AVENUE 10",103.896993805,1.37484071502492,"HOUGANG",7,11,228780
14,"HOUGANG STREET 51",103.888069696498,1.38004711892853,"HOUGANG",7,11,228780
15,"IRRAWADDY ROAD",103.843337016977,1.32107711872701,"NOVENA",4,6,52150
16,"JALAN ANAK BUKIT",103.778236154267,1.34071468946651,"BUKIT TIMAH",3,8,84250
17,"JALAN JURONG KECHIL",103.774717135371,1.3399379140725,"BUKIT TIMAH",3,8,84250
18,"JELEBU ROAD",103.764094148651,1.37945164127629,"BUKIT PANJANG",5,7,138730
19,"JOO KOON CIRCLE",103.673098238308,1.32403743528329,"PIONEER",1,1,0
20,"JURONG EAST STREET 21",103.743381794901,1.33733111375087,"JURONG EAST",4,3,74590
21,"JURONG GATEWAY ROAD",103.739826358818,1.33385165809403,"JURONG EAST",4,3,74590
22,"JURONG WEST CENTRAL 2",103.707244524297,1.34020303677348,"JURONG WEST",5,13,257910
23,"JURONG WEST CENTRAL 3",103.7062235223,1.34058011918917,"JURONG WEST",5,13,257910
24,"KALLANG AVENUE",103.86475929446,1.31101739787678,"KALLANG",4,2,101190
25,"KITCHENER ROAD",103.85740820842,1.30969355743508,"KALLANG",4,2,101190
26,"KOEK ROAD",103.840844420026,1.30133350664608,"ORCHARD",19,1,870
27,"LORONG 4 TOA PAYOH",103.851714329027,1.33432001132262,"TOA PAYOH",2,8,140030
28,"LORONG KILAT",103.773371833903,1.34102600338364,"BUKIT TIMAH",3,8,84250
29,"MACPHERSON ROAD",103.872121303246,1.32870401501177,"GEYLANG",3,7,116820
30,"MARNE ROAD",103.857112506162,1.31270314378783,"KALLANG",4,2,101190
31,"NEW UPPER CHANGI ROAD",103.941571885143,1.32425201243512,"BEDOK",3,15,277660
32,"NORTHPOINT DRIVE",103.836813059817,1.42755553325286,"YISHUN",3,11,230320
33,"OCEAN WAY",103.84191919765,1.2480811344961,"SOUTHERN ISLANDS",1,1,2580
34,"ORCHARD TURN",103.833866605089,1.30264459373126,"ORCHARD",19,1,870
35,"PASIR PANJANG ROAD",103.785589312914,1.28014700165289,"QUEENSTOWN",4,4,102040
36,"PASIR RIS CLOSE",103.95612195305,1.37623205143128,"PASIR RIS",4,7,145480
37,"PETIR ROAD",103.771091373899,1.37482144174585,"BUKIT PANJANG",5,7,138730
38,"PUNGGOL CENTRAL",103.9091315036,1.40035788021072,"PUNGGOL",4,6,199880
39,"QUEENSWAY",103.801368902457,1.30638779751689,"QUEENSTOWN",4,4,102040
40,"RAFFLES AVENUE",103.860705073072,1.28537362965764,"DOWNTOWN CORE",17,1,4170
41,"RAFFLES BOULEVARD",103.859031301254,1.29144973268353,"DOWNTOWN CORE",17,1,4170
42,"RAFFLES LINK",103.855879205641,1.2920291636627,"DOWNTOWN CORE",17,1,4170
43,"RIVERVALE CRESCENT",103.907653640649,1.39140907283592,"SENGKANG",4,12,265550
44,"ROBERTSON QUAY",103.838613292488,1.29004703709958,"SINGAPORE RIVER",1,1,4200
45,"ROCHOR CANAL ROAD",103.852800033271,1.30371688015787,"ROCHOR",4,1,13040
46,"ROCHOR ROAD",103.854568540158,1.30148706909734,"ROCHOR",4,1,13040
47,"SAM LEONG ROAD",103.856829411741,1.30940093939083,"KALLANG",4,2,101190
48,"SEMBAWANG DRIVE",103.81464932384,1.45555388401849,"SEMBAWANG",3,5,110670
49,"SEMBAWANG ROAD",103.826777627864,1.43026847505978,"MANDAI",1,1,2130
50,"SENGKANG SQUARE",103.893839556119,1.39135982178512,"SENGKANG",4,12,265550
51,"SENGKANG WEST AVENUE",103.876156956828,1.3913688093851,"SENGKANG",4,12,265550
52,"SERANGOON CENTRAL",103.870756821688,1.35367103018385,"SERANGOON",3,6,118250
53,"SIMS AVENUE",103.882616155438,1.31488723057014,"GEYLANG",3,7,116820
54,"SIMS DRIVE",103.878780793591,1.31677222806622,"GEYLANG",3,7,116820
55,"SIN MING ROAD",103.837738733937,1.35583242688878,"BISHAN",4,5,88210
56,"SINARAN DRIVE",103.845399273207,1.32020492984807,"NOVENA",4,6,52150
57,"SOUTH BUONA VISTA ROAD",103.785635666784,1.28618901369947,"QUEENSTOWN",4,4,102040
58,"STADIUM WALK",103.877047659831,1.30201353851855,"KALLANG",4,2,101190
59,"TAI THONG CRESCENT",103.869623660041,1.32901649945606,"TOA PAYOH",2,8,140030
60,"TAMPINES CENTRAL 5",103.944368489803,1.35288367589977,"TAMPINES",7,14,284950
61,"TAN QUEE LAN STREET",103.856723592646,1.29847554697599,"DOWNTOWN CORE",17,1,4170
62,"TANJONG KATONG ROAD",103.89449404833,1.31124843225194,"GEYLANG",3,7,116820
63,"TELOK KURAU ROAD",103.910868182844,1.3122772142241,"BEDOK",3,15,277660
64,"UNITY STREET",103.842017809894,1.29208342667403,"SINGAPORE RIVER",1,1,4200
65,"UPPER CIRCULAR ROAD",103.847720654374,1.28927589033091,"SINGAPORE RIVER",1,1,4200
66,"UPPER THOMSON ROAD",103.828370680201,1.35796799014899,"BISHAN",4,5,88210
67,"WEST COAST DRIVE",103.759978928244,1.31227843644678,"CLEMENTI",4,4,102960
68,"WEST COAST ROAD",103.7614146752,1.30868319087089,"CLEMENTI",4,4,102960
69,"WILKIE ROAD",103.847054206873,1.30412706743473,"NEWTON",1,1,9910
70,"WOODLANDS ROAD",103.763963063521,1.39031417462577,"BUKIT PANJANG",5,7,138730
71,"YISHUN AVENUE 2",103.833187928653,1.416244081375,"YISHUN",3,11,230320
72,"YISHUN AVENUE 9",103.83984841958,1.43162370844369,"YISHUN",3,11,230320
73,"YISHUN RING ROAD",103.828892847707,1.43136957726436,"YISHUN",3,11,230320
74,"CAVAN ROAD",103.861530443441,1.31092116730954,"KALLANG",4,2,101190
75,"CENTRAL BOULEVARD",103.857175083123,1.27661641863168,"DOWNTOWN CORE",17,1,4170
76,"COMPASSVALE BOW",103.893536162573,1.38148140445877,"SENGKANG",4,12,265550
77,"CUSCADEN ROAD",103.826332976548,1.30505061371051,"ORCHARD",19,1,870
78,"JALAN MASJID",103.912406876927,1.31983134095207,"BEDOK",3,15,277660
79,"LORONG LIPUT",103.795050712557,1.31058571124714,"QUEENSTOWN",4,4,102040
80,"PASIR RIS CENTRAL",103.957565573283,1.37031157066559,"PASIR RIS",4,7,145480
81,"RANGOON ROAD",103.853717233509,1.31507104891283,"KALLANG",4,2,101190
