Street_name,captive_catchment
AIRPORT BOULEVARD,0.006216884305554669
ALBERT STREET,0.03777073061432002
ALEXANDRA ROAD,0.36440972462862287
ANG MO KIO AVENUE 3,0.5752761135550853
ANSON ROAD,0.05457901871332528
BALESTIER ROAD,0.20812324436751747
BATTERY ROAD,0.07192166178483196
BAYFRONT AVENUE,0.2075412645173511
BEACH ROAD,0.07769991233918126
BEDOK NORTH STREET 1,0.7218696603222655
BEDOK ROAD,0.7011006844315173
BENCOOLEN STREET,0.02355808324305141
BIDADARI PARK DRIVE,0.37244382187804603
BRAS BASAH ROAD,0.031375495700878456
BROOKE ROAD,0.12894615685865668
BUKIT TIMAH ROAD,0
CAVAN ROAD,0.15815779573339636
CECIL STREET,0.026840255566826454
CENTRAL BOULEVARD,0.009950098260957859
CHANGI BUSINESS PARK CENTRAL 1,0.7566543014251719
CHANGI ROAD,0.32934096861933587
CHIN SWEE ROAD,0.04615128491138011
CHOA CHU KANG AVENUE 4,0.4364504916076267
CHOA CHU KANG NORTH 6,0.4976656610697815
CLAYMORE DRIVE,0.04016372705108465
CLEMENCEAU AVENUE,0.022378463705105867
CLEMENTI AVENUE 3,0.24274683229875982
COLEMAN STREET,0.053764839132546025
COLLYER QUAY,0.10007758208243413
COMMONWEALTH AVENUE WEST,0.21898372750266934
COMPASSVALE BOW,0.6435832831601745
CROSS STREET,0.22225485269059161
CUSCADEN ROAD,0.00458270490851086
EAST COAST ROAD,0.7040317881844044
EASTWOOD ROAD,0.6968930542150503
ENG HOON STREET,0.3574004853324301
ENGGOR STREET,0.03340840213551526
EU TONG SEN STREET,0.20165400780477624
FOCH ROAD,0.18443936849209763
GEYLANG ROAD,0.32334118112613214
GOLDHILL PLAZA,0.2394218412869887
GOPENG STREET,0.045547784300347734
GUILLEMARD ROAD,0.31522920188126186
HANDY ROAD,0.06588156218969647
HAVELOCK ROAD,0.36327599409423816
HIGH STREET,0.016658215290732793
HOLLAND AVENUE,0.38662544196035775
HOUGANG AVENUE 10,0.5725763813015101
HOUGANG STREET 51,0.5770036458718895
HOUGANG STREET 91,0.5495851066506215
IRRAWADDY ROAD,0.31395108561870655
JALAN ANAK BUKIT,0.3000491391989024
JALAN BESAR,0.18886578438846785
JALAN JURONG KECHIL,0.3222175691550036
JALAN LEGUNDI,0.25612714498431105
JALAN MASJID,0.7080965078425813
JALAN SULTAN,0.15927932487451135
JELEBU ROAD,0.3694524118797216
JOO CHIAT ROAD,0.35309952938052214
JOO KOON CIRCLE,0.0028074876736588843
JURONG EAST STREET 21,0.17384996762080143
JURONG GATEWAY ROAD,0.3287398856742501
JURONG WEST CENTRAL 2,0.9163157051134027
JURONG WEST CENTRAL 3,1
KALLANG AVENUE,0.1626728930318516
KELANTAN LANE,0.0645535831476858
KEPPEL ROAD,0.35014870892489774
KITCHENER ROAD,0.4445645800133478
KOEK ROAD,0.029059183439905396
LAVENDER STREET,0.16547233683872928
