,Street_name,Planning_area,Time_taken
0,ALBERT STREET,Bedok,2202
1,ALEXANDRA ROAD,Bedok,2109
2,ANG MO KIO AVENUE 3,Bedok,3047
3,ANSON ROAD,Bedok,1724
4,BALESTIER ROAD,Bedok,1952
5,BATTERY ROAD,Bedok,1492
6,BAYFRONT AVENUE,Bedok,1737
7,BEACH ROAD,Bedok,1493
8,BEDOK NORTH STREET 1,Bedok,537
9,BEDOK ROAD,Bedok,832
10,BENCOOLEN STREET,Bedok,1793
11,BIDADARI PARK DRIVE,Bedok,1987
12,BRAS BASAH ROAD,Bedok,1705
13,BROOKE ROAD,Bedok,1768
14,BUKIT TIMAH ROAD,Bedok,4886
15,CAVAN ROAD,Bedok,1464
16,CECIL STREET,Bedok,1911
17,CENTRAL BOULEVARD,Bedok,1914
18,CHANGI BUSINESS PARK CENTRAL 1,Bedok,1393
19,CHANGI ROAD,Bedok,879
20,CHIN SWEE ROAD,Bedok,2326
21,CHOA CHU KANG AVENUE 4,Bedok,4288
22,CHOA CHU KANG NORTH 6,Bedok,3970
23,CLAYMORE DRIVE,Bedok,2425
24,CLEMENCEAU AVENUE,Bedok,1979
25,CLEMENTI AVENUE 3,Bedok,2909
26,COLEMAN STREET,Bedok,1498
27,COLLYER QUAY,Bedok,1536
28,COMMONWEALTH AVENUE WEST,Bedok,2769
29,COMPASSVALE BOW,Bedok,2329
30,CROSS STREET,Bedok,1802
31,CUSCADEN ROAD,Bedok,2217
32,EAST COAST ROAD,Bedok,995
33,EASTWOOD ROAD,Bedok,1230
34,ENG HOON STREET,Bedok,2145
35,ENGGOR STREET,Bedok,1866
36,EU TONG SEN STREET,Bedok,2099
37,FOCH ROAD,Bedok,1638
38,GEYLANG ROAD,Bedok,1279
39,GOLDHILL PLAZA,Bedok,2102
40,GOPENG STREET,Bedok,1713
41,GUILLEMARD ROAD,Bedok,1397
42,HANDY ROAD,Bedok,1661
43,HAVELOCK ROAD,Bedok,2269
44,HIGH STREET,Bedok,1704
45,HOLLAND AVENUE,Bedok,2638
46,HOUGANG AVENUE 10,Bedok,3039
47,HOUGANG STREET 51,Bedok,2972
48,HOUGANG STREET 91,Bedok,3140
49,IRRAWADDY ROAD,Bedok,2177
50,JALAN ANAK BUKIT,Bedok,3196
51,JALAN BESAR,Bedok,1541
