,Street_name,Planning_area,Time_taken
0,ALBERT STREET,Bukit Panjang,2533
1,ALEXANDRA ROAD,Bukit Panjang,3898
2,ANG MO KIO AVENUE 3,Bukit Panjang,3777
3,ANSON ROAD,Bukit Panjang,3577
4,BALESTIER ROAD,Bukit Panjang,2516
5,BATTERY ROAD,Bukit Panjang,2725
6,BAYFRONT AVENUE,Bukit Panjang,2303
7,BEACH ROAD,Bukit Panjang,2246
8,BEDOK NORTH STREET 1,Bukit Panjang,3853
9,BEDOK ROAD,Bukit Panjang,4190
10,BENCOOLEN STREET,Bukit Panjang,3057
11,BIDADARI PARK DRIVE,Bukit Panjang,2984
12,BRAS BASAH ROAD,Bukit Panjang,2538
13,BROOKE ROAD,Bukit Panjang,3779
14,BUKIT TIMAH ROAD,Bukit Panjang,5114
15,CAVAN ROAD,Bukit Panjang,3083
16,CECIL STREET,Bukit Panjang,2755
17,CENTRAL BOULEVARD,Bukit Panjang,2931
18,CHANGI BUSINESS PARK CENTRAL 1,Bukit Panjang,4597
19,CHANGI ROAD,Bukit Panjang,3413
20,CHIN SWEE ROAD,Bukit Panjang,3010
21,CHOA CHU KANG AVENUE 4,Bukit Panjang,1724
22,CHOA CHU KANG NORTH 6,Bukit Panjang,1594
23,CLAYMORE DRIVE,Bukit Panjang,2805
24,CLEMENCEAU AVENUE,Bukit Panjang,3140
25,CLEMENTI AVENUE 3,Bukit Panjang,2454
26,COLEMAN STREET,Bukit Panjang,2658
27,COLLYER QUAY,Bukit Panjang,2769
28,COMMONWEALTH AVENUE WEST,Bukit Panjang,2318
29,COMPASSVALE BOW,Bukit Panjang,3546
30,CROSS STREET,Bukit Panjang,2465
31,CUSCADEN ROAD,Bukit Panjang,2650
32,EAST COAST ROAD,Bukit Panjang,4450
33,EASTWOOD ROAD,Bukit Panjang,4273
34,ENG HOON STREET,Bukit Panjang,3369
35,ENGGOR STREET,Bukit Panjang,3256
36,EU TONG SEN STREET,Bukit Panjang,2857
37,FOCH ROAD,Bukit Panjang,3037
38,GEYLANG ROAD,Bukit Panjang,3510
39,GOLDHILL PLAZA,Bukit Panjang,2789
40,GOPENG STREET,Bukit Panjang,3371
41,GUILLEMARD ROAD,Bukit Panjang,3384
42,HANDY ROAD,Bukit Panjang,2786
43,HAVELOCK ROAD,Bukit Panjang,3835
44,HIGH STREET,Bukit Panjang,2733
45,HOLLAND AVENUE,Bukit Panjang,2967
46,HOUGANG AVENUE 10,Bukit Panjang,3816
47,HOUGANG STREET 51,Bukit Panjang,3938
48,HOUGANG STREET 91,Bukit Panjang,4396
49,IRRAWADDY ROAD,Bukit Panjang,2328
50,JALAN ANAK BUKIT,Bukit Panjang,1304
51,JALAN BESAR,Bukit Panjang,3228
52,JALAN JURONG KECHIL,Bukit Panjang,1220
53,JALAN LEGUNDI,Bukit Panjang,3533
54,JALAN MASJID,Bukit Panjang,3332
55,JALAN SULTAN,Bukit Panjang,2889
56,JELEBU ROAD,Bukit Panjang,709
57,JOO CHIAT ROAD,Bukit Panjang,3814
58,JOO KOON CIRCLE,Bukit Panjang,4428
59,JURONG EAST STREET 21,Bukit Panjang,2237
60,JURONG GATEWAY ROAD,Bukit Panjang,2256
61,JURONG WEST CENTRAL 2,Bukit Panjang,3162
62,JURONG WEST CENTRAL 3,Bukit Panjang,3456
63,KALLANG AVENUE,Bukit Panjang,3368
64,KELANTAN LANE,Bukit Panjang,3151
65,KEPPEL ROAD,Bukit Panjang,3105
66,KITCHENER ROAD,Bukit Panjang,3297
67,KOEK ROAD,Bukit Panjang,2641
68,LAVENDER STREET,Bukit Panjang,2923
