,Street_name,Planning_area,Time_taken
0,AIRPORT BOULEVARD,Changi Bay,424
1,ALBERT STREET,Changi Bay,3433
2,ALEXANDRA ROAD,Changi Bay,3233
3,ANG MO KIO AVENUE 3,Changi Bay,4118
4,ANSON ROAD,Changi Bay,2848
5,BALESTIER ROAD,Changi Bay,3789
6,BATTERY ROAD,Changi Bay,2616
7,BAYFRONT AVENUE,Changi Bay,3325
8,BEACH ROAD,Changi Bay,2617
9,BEDOK NORTH STREET 1,Changi Bay,1827
10,BEDOK ROAD,Changi Bay,1697
11,BENCOOLEN STREET,Changi Bay,3134
12,BIDADARI PARK DRIVE,Changi Bay,3649
13,BRAS BASAH ROAD,Changi Bay,2829
14,BROOKE ROAD,Changi Bay,2541
15,BUKIT TIMAH ROAD,Changi Bay,7024
16,CAVAN ROAD,Changi Bay,2588
17,CECIL STREET,Changi Bay,3035
18,CENTRAL BOULEVARD,Changi Bay,3738
19,CHANGI BUSINESS PARK CENTRAL 1,Changi Bay,1210
20,CHANGI ROAD,Changi Bay,2003
21,CHIN SWEE ROAD,Changi Bay,3491
22,CHOA CHU KANG AVENUE 4,Changi Bay,6351
23,CHOA CHU KANG NORTH 6,Changi Bay,5746
24,CLAYMORE DRIVE,Changi Bay,4904
25,CLEMENCEAU AVENUE,Changi Bay,3438
26,CLEMENTI AVENUE 3,Changi Bay,4033
27,COLEMAN STREET,Changi Bay,2622
28,COLLYER QUAY,Changi Bay,2660
29,COMMONWEALTH AVENUE WEST,Changi Bay,3902
30,COMPASSVALE BOW,Changi Bay,3068
31,CROSS STREET,Changi Bay,2926
32,CUSCADEN ROAD,Changi Bay,4696
33,EAST COAST ROAD,Changi Bay,2214
34,EASTWOOD ROAD,Changi Bay,1896
35,ENG HOON STREET,Changi Bay,3314
36,ENGGOR STREET,Changi Bay,2990
37,EU TONG SEN STREET,Changi Bay,3254
38,FOCH ROAD,Changi Bay,2807
39,GEYLANG ROAD,Changi Bay,2403
40,GOLDHILL PLAZA,Changi Bay,4277
41,GOPENG STREET,Changi Bay,2837
42,GUILLEMARD ROAD,Changi Bay,3595
43,HANDY ROAD,Changi Bay,4020
44,HAVELOCK ROAD,Changi Bay,3393
45,HIGH STREET,Changi Bay,2828
46,HOLLAND AVENUE,Changi Bay,4101
47,HOUGANG AVENUE 10,Changi Bay,3379
48,HOUGANG STREET 51,Changi Bay,3252
49,HOUGANG STREET 91,Changi Bay,3381
50,IRRAWADDY ROAD,Changi Bay,4306
51,JALAN ANAK BUKIT,Changi Bay,5334
52,JALAN BESAR,Changi Bay,2665
53,JALAN JURONG KECHIL,Changi Bay,5250
54,JALAN LEGUNDI,Changi Bay,5139
55,JALAN MASJID,Changi Bay,1680
56,JALAN SULTAN,Changi Bay,2630
57,JELEBU ROAD,Changi Bay,5934
58,JOO CHIAT ROAD,Changi Bay,2766
59,JOO KOON CIRCLE,Changi Bay,5749
60,JURONG EAST STREET 21,Changi Bay,4546
61,JURONG GATEWAY ROAD,Changi Bay,4266
62,JURONG WEST CENTRAL 2,Changi Bay,4686
63,JURONG WEST CENTRAL 3,Changi Bay,4792
64,KALLANG AVENUE,Changi Bay,2712
65,KELANTAN LANE,Changi Bay,2834
66,KEPPEL ROAD,Changi Bay,4209
67,KITCHENER ROAD,Changi Bay,4188
68,KOEK ROAD,Changi Bay,3937
69,LAVENDER STREET,Changi Bay,2928
70,LORONG 22 GEYLANG,Changi Bay,2465
71,LORONG 4 TOA PAYOH,Changi Bay,4700
72,LORONG KILAT,Changi Bay,5340
73,LORONG LIPUT,Changi Bay,4439
74,MACPHERSON ROAD,Changi Bay,3457
75,MAJU AVENUE,Changi Bay,4484
76,MARINA BOULEVARD,Changi Bay,4045
77,MARINA VIEW,Changi Bay,3028
78,MARINE PARADE ROAD,Changi Bay,2020
79,MARITIME SQUARE,Changi Bay,4240
80,MARKET STREET,Changi Bay,2199
81,MARNE ROAD,Changi Bay,3476
82,MERCHANT ROAD,Changi Bay,3581
83,MIDDLE ROAD,Changi Bay,2949
84,MOHAMED SULTAN ROAD,Changi Bay,3528
85,MOUNTBATTEN ROAD,Changi Bay,3040
86,NEW BRIDGE ROAD,Changi Bay,3197
87,NEW UPPER CHANGI ROAD,Changi Bay,1662
88,NORTH BRIDGE ROAD,Changi Bay,2647
89,NORTH BUONA VISTA DRIVE,Changi Bay,3736
90,NORTHPOINT DRIVE,Changi Bay,4572
91,OCEAN WAY,Changi Bay,7703
92,ORCHARD ROAD,Changi Bay,4661
93,ORCHARD TURN,Changi Bay,4413
94,OUTRAM ROAD,Changi Bay,2723
95,PASIR PANJANG ROAD,Changi Bay,5513
96,PASIR RIS CENTRAL,Changi Bay,1555
97,PASIR RIS CLOSE,Changi Bay,1890
98,PAYA LEBAR ROAD,Changi Bay,2616
99,PENANG ROAD,Changi Bay,4228
100,PETIR ROAD,Changi Bay,5928
101,PUNGGOL CENTRAL,Changi Bay,2652
102,QUEENSWAY,Changi Bay,3942
103,RACE COURSE ROAD,Changi Bay,3736
104,RAFFLES AVENUE,Changi Bay,3698
105,RAFFLES BOULEVARD,Changi Bay,3806
106,RAFFLES LINK,Changi Bay,2766
107,RAFFLES PLACE,Changi Bay,2436
108,RAFFLES QUAY,Changi Bay,2756
109,RANGOON ROAD,Changi Bay,4163
110,RIVER VALLEY ROAD,Changi Bay,4288
111,RIVERVALE CRESCENT,Changi Bay,2312
112,ROBERTSON QUAY,Changi Bay,3814
113,ROBINSON ROAD,Changi Bay,3079
114,ROCHOR CANAL ROAD,Changi Bay,2731
115,ROCHOR ROAD,Changi Bay,2451
116,SAM LEONG ROAD,Changi Bay,2970
117,SCOTTS ROAD,Changi Bay,4292
118,SELEGIE ROAD,Changi Bay,3365
119,SEMBAWANG DRIVE,Changi Bay,6318
120,SEMBAWANG ROAD,Changi Bay,4493
121,SENGKANG SQUARE,Changi Bay,2631
122,SENGKANG WEST AVENUE,Changi Bay,2791
123,SERANGOON CENTRAL,Changi Bay,3954
124,SERANGOON ROAD,Changi Bay,3675
125,SHENTON WAY,Changi Bay,2860
126,SIMS AVENUE,Changi Bay,2039
127,SIMS DRIVE,Changi Bay,2420
128,SIN MING ROAD,Changi Bay,5416
129,SINARAN DRIVE,Changi Bay,4130
130,SOMERSET ROAD,Changi Bay,3722
131,SOUTH BRIDGE ROAD,Changi Bay,3229
132,SOUTH BUONA VISTA ROAD,Changi Bay,6698
133,STADIUM WALK,Changi Bay,3285
134,STAMFORD ROAD,Changi Bay,2687
135,TAI SENG STREET,Changi Bay,2876
136,TAI THONG CRESCENT,Changi Bay,3669
137,TAMPINES CENTRAL 1,Changi Bay,1364
138,TAMPINES CENTRAL 5,Changi Bay,1659
139,TAMPINES STREET 32,Changi Bay,1236
140,TAN QUEE LAN STREET,Changi Bay,2548
141,TANGLIN ROAD,Changi Bay,3586
142,TANJONG KATONG ROAD,Changi Bay,3020
143,TELOK AYER STREET,Changi Bay,3104
144,TELOK KURAU ROAD,Changi Bay,2732
145,TEMASEK BOULEVARD,Changi Bay,3517
146,TESSENSOHN ROAD,Changi Bay,3612
147,THOMSON ROAD,Changi Bay,4206
148,TIONG BAHRU ROAD,Changi Bay,3814
149,TRAS STREET,Changi Bay,2949
150,UNITY STREET,Changi Bay,3303
151,UPPER BUKIT TIMAH ROAD,Changi Bay,5671
152,UPPER CIRCULAR ROAD,Changi Bay,3514
153,UPPER CROSS STREET,Changi Bay,3304
154,UPPER SERANGOON ROAD,Changi Bay,3488
155,UPPER THOMSON ROAD,Changi Bay,5230
156,VICTORIA STREET,Changi Bay,2258
157,WEST COAST DRIVE,Changi Bay,4490
158,WEST COAST ROAD,Changi Bay,4806
159,WILKIE ROAD,Changi Bay,3902
160,WOODLANDS AVENUE 1,Changi Bay,4995
161,WOODLANDS ROAD,Changi Bay,6300
162,WOODLANDS SQUARE,Changi Bay,4766
163,YIO CHU KANG ROAD,Changi Bay,3724
164,YISHUN AVENUE 2,Changi Bay,4036
165,YISHUN AVENUE 9,Changi Bay,4718
166,YISHUN CENTRAL 1,Changi Bay,4433
167,YISHUN RING ROAD,Changi Bay,4568
