,Street_name,Planning_area,Time_taken
0,AIRPORT BOULEVARD,Novena,3636
1,ALBERT STREET,Novena,1755
2,ALEXANDRA ROAD,Novena,1984
3,ANG MO KIO AVENUE 3,Novena,2188
4,ANSON ROAD,Novena,2110
5,BALESTIER ROAD,Novena,793
6,BATTERY ROAD,Novena,1859
7,BAYFRONT AVENUE,Novena,1628
8,BEACH ROAD,Novena,1571
9,BEDOK NORTH STREET 1,Novena,3083
10,BEDOK ROAD,Novena,3496
11,BENCOOLEN STREET,Novena,1797
12,BIDADARI PARK DRIVE,Novena,1613
13,BRAS BASAH ROAD,Novena,1799
14,BROOKE ROAD,Novena,2616
15,BUKIT TIMAH ROAD,Novena,3227
16,CAVAN ROAD,Novena,1621
17,CECIL STREET,Novena,2080
18,CENTRAL BOULEVARD,Novena,2096
19,CHANGI BUSINESS PARK CENTRAL 1,Novena,4074
20,CHANGI ROAD,Novena,2117
21,CHIN SWEE ROAD,Novena,2414
22,CHOA CHU KANG AVENUE 4,Novena,3313
23,CHOA CHU KANG NORTH 6,Novena,3510
24,CLAYMORE DRIVE,Novena,1608
25,CLEMENCEAU AVENUE,Novena,2037
26,CLEMENTI AVENUE 3,Novena,2541
27,COLEMAN STREET,Novena,1912
28,COLLYER QUAY,Novena,1903
29,COMMONWEALTH AVENUE WEST,Novena,2523
30,COMPASSVALE BOW,Novena,2175
31,CROSS STREET,Novena,1790
32,CUSCADEN ROAD,Novena,1453
33,EAST COAST ROAD,Novena,2836
34,EASTWOOD ROAD,Novena,3458
35,ENG HOON STREET,Novena,2219
36,ENGGOR STREET,Novena,2615
37,EU TONG SEN STREET,Novena,1973
38,FOCH ROAD,Novena,1590
39,GEYLANG ROAD,Novena,2606
40,GOLDHILL PLAZA,Novena,1963
41,GOPENG STREET,Novena,2099
42,GUILLEMARD ROAD,Novena,2215
43,HANDY ROAD,Novena,1651
44,HAVELOCK ROAD,Novena,2509
45,HIGH STREET,Novena,1990
46,HOLLAND AVENUE,Novena,1727
47,HOUGANG AVENUE 10,Novena,2901
48,HOUGANG STREET 51,Novena,3083
49,HOUGANG STREET 91,Novena,3317
50,IRRAWADDY ROAD,Novena,1628
51,JALAN ANAK BUKIT,Novena,1575
52,JALAN BESAR,Novena,1650
53,JALAN JURONG KECHIL,Novena,1664
54,JALAN LEGUNDI,Novena,3086
55,JALAN MASJID,Novena,2465
56,JALAN SULTAN,Novena,1941
57,JELEBU ROAD,Novena,2418
58,JOO CHIAT ROAD,Novena,2344
59,JOO KOON CIRCLE,Novena,4128
60,JURONG EAST STREET 21,Novena,2925
61,JURONG GATEWAY ROAD,Novena,2645
62,JURONG WEST CENTRAL 2,Novena,3065
63,JURONG WEST CENTRAL 3,Novena,3171
64,KALLANG AVENUE,Novena,1730
65,KELANTAN LANE,Novena,1792
66,KEPPEL ROAD,Novena,2520
67,KITCHENER ROAD,Novena,1772
68,KOEK ROAD,Novena,1538
69,LAVENDER STREET,Novena,1476
70,LORONG 22 GEYLANG,Novena,2390
71,LORONG 4 TOA PAYOH,Novena,832
72,LORONG KILAT,Novena,1824
73,LORONG LIPUT,Novena,1751
74,MACPHERSON ROAD,Novena,1245
75,MAJU AVENUE,Novena,2143
76,MARINA BOULEVARD,Novena,2214
77,MARINA VIEW,Novena,1823
78,MARINE PARADE ROAD,Novena,2784
79,MARITIME SQUARE,Novena,2598
80,MARKET STREET,Novena,3245
81,MARNE ROAD,Novena,1601
82,MERCHANT ROAD,Novena,2143
83,MIDDLE ROAD,Novena,1912
84,MOHAMED SULTAN ROAD,Novena,2247
85,MOUNTBATTEN ROAD,Novena,2596
86,NEW BRIDGE ROAD,Novena,2041
87,NEW UPPER CHANGI ROAD,Novena,3290
88,NORTH BRIDGE ROAD,Novena,1857
89,NORTH BUONA VISTA DRIVE,Novena,1738
90,NORTHPOINT DRIVE,Novena,2677
91,OCEAN WAY,Novena,5300
92,ORCHARD ROAD,Novena,1353
93,ORCHARD TURN,Novena,1654
94,OUTRAM ROAD,Novena,1189
95,PASIR PANJANG ROAD,Novena,2269
96,PASIR RIS CENTRAL,Novena,4218
97,PASIR RIS CLOSE,Novena,4041
98,PAYA LEBAR ROAD,Novena,1856
99,PENANG ROAD,Novena,1891
100,PETIR ROAD,Novena,2372
101,PUNGGOL CENTRAL,Novena,3431
102,QUEENSWAY,Novena,1554
103,RACE COURSE ROAD,Novena,1546
104,RAFFLES AVENUE,Novena,2001
105,RAFFLES BOULEVARD,Novena,1861
106,RAFFLES LINK,Novena,1899
107,RAFFLES PLACE,Novena,1679
108,RAFFLES QUAY,Novena,1999
109,RANGOON ROAD,Novena,1743
110,RIVER VALLEY ROAD,Novena,2010
111,RIVERVALE CRESCENT,Novena,2695
112,ROBERTSON QUAY,Novena,2577
113,ROBINSON ROAD,Novena,2160
114,ROCHOR CANAL ROAD,Novena,1812
115,ROCHOR ROAD,Novena,1668
116,SAM LEONG ROAD,Novena,1861
117,SCOTTS ROAD,Novena,1266
118,SELEGIE ROAD,Novena,1861
119,SEMBAWANG DRIVE,Novena,3071
120,SEMBAWANG ROAD,Novena,2506
121,SENGKANG SQUARE,Novena,2370
122,SENGKANG WEST AVENUE,Novena,2682
123,SERANGOON CENTRAL,Novena,2171
124,SERANGOON ROAD,Novena,1148
125,SHENTON WAY,Novena,2195
126,SIMS AVENUE,Novena,2199
127,SIMS DRIVE,Novena,2032
128,SIN MING ROAD,Novena,1197
129,SINARAN DRIVE,Novena,1914
130,SOMERSET ROAD,Novena,1476
131,SOUTH BRIDGE ROAD,Novena,2271
132,SOUTH BUONA VISTA ROAD,Novena,2499
133,STADIUM WALK,Novena,2139
134,STAMFORD ROAD,Novena,1931
135,TAI SENG STREET,Novena,1678
136,TAI THONG CRESCENT,Novena,1238
137,TAMPINES CENTRAL 1,Novena,2892
138,TAMPINES CENTRAL 5,Novena,2895
139,TAMPINES STREET 32,Novena,3204
