,Street_name,Planning_area,Time_taken
0,ALBERT STREET,Sungei Kadut,3953
1,ALEXANDRA ROAD,Sungei Kadut,4138
2,ANG MO KIO AVENUE 3,Sungei Kadut,3727
3,ANSON ROAD,Sungei Kadut,4531
4,BALESTIER ROAD,Sungei Kadut,4637
5,BATTERY ROAD,Sungei Kadut,4544
6,BAYFRONT AVENUE,Sungei Kadut,3802
7,BEACH ROAD,Sungei Kadut,3745
8,BEDOK NORTH STREET 1,Sungei Kadut,5290
9,BEDOK ROAD,Sungei Kadut,5717
10,BENCOOLEN STREET,Sungei Kadut,4841
11,BIDADARI PARK DRIVE,Sungei Kadut,4463
12,BRAS BASAH ROAD,Sungei Kadut,4657
13,BROOKE ROAD,Sungei Kadut,5504
14,BUKIT TIMAH ROAD,Sungei Kadut,4689
15,CAVAN ROAD,Sungei Kadut,4231
16,CECIL STREET,Sungei Kadut,4254
17,CENTRAL BOULEVARD,Sungei Kadut,4430
18,CHANGI BUSINESS PARK CENTRAL 1,Sungei Kadut,6578
19,CHANGI ROAD,Sungei Kadut,4850
20,CHIN SWEE ROAD,Sungei Kadut,4502
21,CHOA CHU KANG AVENUE 4,Sungei Kadut,2614
22,CHOA CHU KANG NORTH 6,Sungei Kadut,3434
23,CLAYMORE DRIVE,Sungei Kadut,4630
24,CLEMENCEAU AVENUE,Sungei Kadut,4598
25,CLEMENTI AVENUE 3,Sungei Kadut,3555
26,COLEMAN STREET,Sungei Kadut,4560
27,COLLYER QUAY,Sungei Kadut,4588
28,COMMONWEALTH AVENUE WEST,Sungei Kadut,3754
29,COMPASSVALE BOW,Sungei Kadut,4805
30,CROSS STREET,Sungei Kadut,3964
31,CUSCADEN ROAD,Sungei Kadut,4207
32,EAST COAST ROAD,Sungei Kadut,5946
33,EASTWOOD ROAD,Sungei Kadut,6368
34,ENG HOON STREET,Sungei Kadut,4779
35,ENGGOR STREET,Sungei Kadut,4673
36,EU TONG SEN STREET,Sungei Kadut,4374
37,FOCH ROAD,Sungei Kadut,4185
38,GEYLANG ROAD,Sungei Kadut,4976
39,GOLDHILL PLAZA,Sungei Kadut,4041
40,GOPENG STREET,Sungei Kadut,4520
41,GUILLEMARD ROAD,Sungei Kadut,4869
42,HANDY ROAD,Sungei Kadut,4345
43,HAVELOCK ROAD,Sungei Kadut,4554
44,HIGH STREET,Sungei Kadut,4766
45,HOLLAND AVENUE,Sungei Kadut,3927
46,HOUGANG AVENUE 10,Sungei Kadut,4874
47,HOUGANG STREET 51,Sungei Kadut,5242
48,HOUGANG STREET 91,Sungei Kadut,4656
49,IRRAWADDY ROAD,Sungei Kadut,3954
50,JALAN ANAK BUKIT,Sungei Kadut,2803
