,Street_name,Planning_area,Time_taken
0,AIRPORT BOULEVARD,Tengah,5791
1,ALBERT STREET,Tengah,3712
2,ALEXANDRA ROAD,Tengah,3182
3,ANG MO KIO AVENUE 3,Tengah,4439
4,ANSON ROAD,Tengah,2805
5,BALESTIER ROAD,Tengah,3890
6,BATTERY ROAD,Tengah,3588
7,BAYFRONT AVENUE,Tengah,3482
8,BEACH ROAD,Tengah,3425
9,BEDOK NORTH STREET 1,Tengah,5099
10,BEDOK ROAD,Tengah,5526
11,BENCOOLEN STREET,Tengah,4236
12,BIDADARI PARK DRIVE,Tengah,4103
13,BRAS BASAH ROAD,Tengah,3687
14,BROOKE ROAD,Tengah,5070
15,BUKIT TIMAH ROAD,Tengah,4048
16,CAVAN ROAD,Tengah,4181
17,CECIL STREET,Tengah,3180
18,CENTRAL BOULEVARD,Tengah,4110
19,CHANGI BUSINESS PARK CENTRAL 1,Tengah,6134
20,CHANGI ROAD,Tengah,4659
21,CHIN SWEE ROAD,Tengah,4189
22,CHOA CHU KANG AVENUE 4,Tengah,2144
23,CHOA CHU KANG NORTH 6,Tengah,1909
24,CLAYMORE DRIVE,Tengah,3743
25,CLEMENCEAU AVENUE,Tengah,4309
26,CLEMENTI AVENUE 3,Tengah,2686
27,COLEMAN STREET,Tengah,3820
28,COLLYER QUAY,Tengah,3632
29,COMMONWEALTH AVENUE WEST,Tengah,2862
30,COMPASSVALE BOW,Tengah,4665
31,CROSS STREET,Tengah,3644
32,CUSCADEN ROAD,Tengah,3789
33,EAST COAST ROAD,Tengah,5882
34,EASTWOOD ROAD,Tengah,5542
35,ENG HOON STREET,Tengah,3823
36,ENGGOR STREET,Tengah,2935
37,EU TONG SEN STREET,Tengah,3763
38,FOCH ROAD,Tengah,4135
39,GEYLANG ROAD,Tengah,4664
40,GOLDHILL PLAZA,Tengah,3892
41,GOPENG STREET,Tengah,2964
42,GUILLEMARD ROAD,Tengah,4669
43,HANDY ROAD,Tengah,4085
44,HAVELOCK ROAD,Tengah,3598
45,HIGH STREET,Tengah,4032
46,HOLLAND AVENUE,Tengah,3017
47,HOUGANG AVENUE 10,Tengah,5810
48,HOUGANG STREET 51,Tengah,6321
49,HOUGANG STREET 91,Tengah,5667
