,Street_name,Planning_area,Time_taken
0,ALBERT STREET,Woodlands,3677
1,ALEXANDRA ROAD,Woodlands,3528
2,ANG MO KIO AVENUE 3,Woodlands,2746
3,ANSON ROAD,Woodlands,3811
4,BALESTIER ROAD,Woodlands,3418
5,BATTERY ROAD,Woodlands,3417
6,BAYFRONT AVENUE,Woodlands,3479
7,BEACH ROAD,Woodlands,3422
8,BEDOK NORTH STREET 1,Woodlands,4854
9,BEDOK ROAD,Woodlands,5541
10,BENCOOLEN STREET,Woodlands,3736
11,BIDADARI PARK DRIVE,Woodlands,3515
12,BRAS BASAH ROAD,Woodlands,3523
13,BROOKE ROAD,Woodlands,4599
14,BUKIT TIMAH ROAD,Woodlands,5072
15,CAVAN ROAD,Woodlands,3871
16,CECIL STREET,Woodlands,3824
17,CENTRAL BOULEVARD,Woodlands,3692
18,CHANGI BUSINESS PARK CENTRAL 1,Woodlands,5686
19,CHANGI ROAD,Woodlands,4227
20,CHIN SWEE ROAD,Woodlands,4017
21,CHOA CHU KANG AVENUE 4,Woodlands,2004
22,CHOA CHU KANG NORTH 6,Woodlands,1399
23,CLAYMORE DRIVE,Woodlands,3600
24,CLEMENCEAU AVENUE,Woodlands,3462
25,CLEMENTI AVENUE 3,Woodlands,2945
26,COLEMAN STREET,Woodlands,3424
27,COLLYER QUAY,Woodlands,3461
28,COMMONWEALTH AVENUE WEST,Woodlands,3086
29,COMPASSVALE BOW,Woodlands,3803
30,CROSS STREET,Woodlands,3727
31,CUSCADEN ROAD,Woodlands,3007
32,EAST COAST ROAD,Woodlands,4961
33,EASTWOOD ROAD,Woodlands,5357
34,ENG HOON STREET,Woodlands,3348
35,ENGGOR STREET,Woodlands,3953
36,EU TONG SEN STREET,Woodlands,3679
37,FOCH ROAD,Woodlands,3825
38,GEYLANG ROAD,Woodlands,3962
39,GOLDHILL PLAZA,Woodlands,2905
40,GOPENG STREET,Woodlands,3800
41,GUILLEMARD ROAD,Woodlands,4095
42,HANDY ROAD,Woodlands,3209
43,HAVELOCK ROAD,Woodlands,3944
44,HIGH STREET,Woodlands,3593
45,HOLLAND AVENUE,Woodlands,3566
46,HOUGANG AVENUE 10,Woodlands,3863
47,HOUGANG STREET 51,Woodlands,3828
48,HOUGANG STREET 91,Woodlands,3569
49,IRRAWADDY ROAD,Woodlands,2818
50,JALAN ANAK BUKIT,Woodlands,3420
51,JALAN BESAR,Woodlands,4092
52,JALAN JURONG KECHIL,Woodlands,3166
53,JALAN LEGUNDI,Woodlands,2011
54,JALAN MASJID,Woodlands,4146
55,JALAN SULTAN,Woodlands,3730
56,JELEBU ROAD,Woodlands,2338
57,JOO CHIAT ROAD,Woodlands,4303
58,JOO KOON CIRCLE,Woodlands,4002
59,JURONG EAST STREET 21,Woodlands,2606
60,JURONG GATEWAY ROAD,Woodlands,2326
61,JURONG WEST CENTRAL 2,Woodlands,2939
62,JURONG WEST CENTRAL 3,Woodlands,3045
63,KALLANG AVENUE,Woodlands,4130
64,KELANTAN LANE,Woodlands,3934
65,KEPPEL ROAD,Woodlands,4149
66,KITCHENER ROAD,Woodlands,4305
67,KOEK ROAD,Woodlands,3249
68,LAVENDER STREET,Woodlands,3711
69,LORONG 22 GEYLANG,Woodlands,4248
70,LORONG 4 TOA PAYOH,Woodlands,2968
71,LORONG KILAT,Woodlands,3327
72,LORONG LIPUT,Woodlands,3590
73,MACPHERSON ROAD,Woodlands,3486
74,MAJU AVENUE,Woodlands,3489
75,MARINA BOULEVARD,Woodlands,3806
76,MARINA VIEW,Woodlands,3608
77,MARINE PARADE ROAD,Woodlands,4718
78,MARITIME SQUARE,Woodlands,4330
79,MARKET STREET,Woodlands,5459
80,MARNE ROAD,Woodlands,3563
81,MERCHANT ROAD,Woodlands,3900
82,MIDDLE ROAD,Woodlands,3885
83,MOHAMED SULTAN ROAD,Woodlands,4090
84,MOUNTBATTEN ROAD,Woodlands,4157
85,NEW BRIDGE ROAD,Woodlands,3763
86,NEW UPPER CHANGI ROAD,Woodlands,5081
87,NORTH BRIDGE ROAD,Woodlands,3804
88,NORTH BUONA VISTA DRIVE,Woodlands,3257
89,NORTHPOINT DRIVE,Woodlands,1780
90,OCEAN WAY,Woodlands,7102
91,ORCHARD ROAD,Woodlands,3426
92,ORCHARD TURN,Woodlands,3080
93,OUTRAM ROAD,Woodlands,3231
94,PASIR PANJANG ROAD,Woodlands,3623
95,PASIR RIS CENTRAL,Woodlands,5060
96,PASIR RIS CLOSE,Woodlands,4982
97,PAYA LEBAR ROAD,Woodlands,3134
98,PENANG ROAD,Woodlands,3316
99,PETIR ROAD,Woodlands,2225
100,PUNGGOL CENTRAL,Woodlands,3696
101,QUEENSWAY,Woodlands,3511
102,RACE COURSE ROAD,Woodlands,3812
103,RAFFLES AVENUE,Woodlands,3643
104,RAFFLES BOULEVARD,Woodlands,3712
105,RAFFLES LINK,Woodlands,3568
106,RAFFLES PLACE,Woodlands,3237
107,RAFFLES QUAY,Woodlands,3557
108,RANGOON ROAD,Woodlands,3705
109,RIVER VALLEY ROAD,Woodlands,3538
110,RIVERVALE CRESCENT,Woodlands,3734
111,ROBERTSON QUAY,Woodlands,3884
112,ROBINSON ROAD,Woodlands,3861
113,ROCHOR CANAL ROAD,Woodlands,3254
114,ROCHOR ROAD,Woodlands,3621
115,SAM LEONG ROAD,Woodlands,3779
116,SCOTTS ROAD,Woodlands,3130
117,SELEGIE ROAD,Woodlands,3823
118,SEMBAWANG DRIVE,Woodlands,2099
119,SEMBAWANG ROAD,Woodlands,1566
120,SENGKANG SQUARE,Woodlands,3430
121,SENGKANG WEST AVENUE,Woodlands,3542
122,SERANGOON CENTRAL,Woodlands,3281
123,SERANGOON ROAD,Woodlands,3551
124,SHENTON WAY,Woodlands,3823
125,SIMS AVENUE,Woodlands,3937
126,SIMS DRIVE,Woodlands,4351
127,SIN MING ROAD,Woodlands,2499
128,SINARAN DRIVE,Woodlands,2805
129,SOMERSET ROAD,Woodlands,3034
130,SOUTH BRIDGE ROAD,Woodlands,3831
131,SOUTH BUONA VISTA ROAD,Woodlands,4084
132,STADIUM WALK,Woodlands,3929
133,STAMFORD ROAD,Woodlands,3489
134,TAI SENG STREET,Woodlands,3394
135,TAI THONG CRESCENT,Woodlands,3522
136,TAMPINES CENTRAL 1,Woodlands,4559
137,TAMPINES CENTRAL 5,Woodlands,4826
138,TAMPINES STREET 32,Woodlands,5035
139,TAN QUEE LAN STREET,Woodlands,3462
140,TANGLIN ROAD,Woodlands,3668
141,TANJONG KATONG ROAD,Woodlands,4017
142,TELOK AYER STREET,Woodlands,4067
143,TELOK KURAU ROAD,Woodlands,4465
144,TEMASEK BOULEVARD,Woodlands,3760
145,TESSENSOHN ROAD,Woodlands,3699
146,THOMSON ROAD,Woodlands,3014
147,TIONG BAHRU ROAD,Woodlands,3199
148,TRAS STREET,Woodlands,3912
149,UNITY STREET,Woodlands,4033
150,UPPER BUKIT TIMAH ROAD,Woodlands,2516
151,UPPER CIRCULAR ROAD,Woodlands,3784
152,UPPER CROSS STREET,Woodlands,3798
153,UPPER SERANGOON ROAD,Woodlands,3889
154,UPPER THOMSON ROAD,Woodlands,2346
155,VICTORIA STREET,Woodlands,3428
156,WEST COAST DRIVE,Woodlands,3442
157,WEST COAST ROAD,Woodlands,3509
158,WILKIE ROAD,Woodlands,4276
159,WOODLANDS AVENUE 1,Woodlands,1439
160,WOODLANDS ROAD,Woodlands,2675
161,WOODLANDS SQUARE,Woodlands,428
162,YIO CHU KANG ROAD,Woodlands,3474
163,YISHUN AVENUE 2,Woodlands,1617
164,YISHUN AVENUE 9,Woodlands,1944
165,YISHUN CENTRAL 1,Woodlands,1641
166,YISHUN RING ROAD,Woodlands,1712
167,ALBERT STREET,Marine Parade,2008
168,ALEXANDRA ROAD,Marine Parade,2638
169,ANG MO KIO AVENUE 3,Marine Parade,3159
170,ANSON ROAD,Marine Parade,2233
171,BALESTIER ROAD,Marine Parade,2411
172,BATTERY ROAD,Marine Parade,1989
173,BAYFRONT AVENUE,Marine Parade,1670
174,BEACH ROAD,Marine Parade,1402
175,BEDOK NORTH STREET 1,Marine Parade,2210
176,BEDOK ROAD,Marine Parade,2313
177,BENCOOLEN STREET,Marine Parade,1930
178,BIDADARI PARK DRIVE,Marine Parade,2282
179,BRAS BASAH ROAD,Marine Parade,1933
180,BROOKE ROAD,Marine Parade,1133
181,BUKIT TIMAH ROAD,Marine Parade,4732
182,CAVAN ROAD,Marine Parade,1615
183,CECIL STREET,Marine Parade,2072
184,CENTRAL BOULEVARD,Marine Parade,2022
185,CHANGI BUSINESS PARK CENTRAL 1,Marine Parade,2743
186,CHANGI ROAD,Marine Parade,2704
187,CHIN SWEE ROAD,Marine Parade,2448
188,CHOA CHU KANG AVENUE 4,Marine Parade,4382
189,CHOA CHU KANG NORTH 6,Marine Parade,4377
190,CLAYMORE DRIVE,Marine Parade,2798
191,CLEMENCEAU AVENUE,Marine Parade,2168
192,CLEMENTI AVENUE 3,Marine Parade,3438
193,COLEMAN STREET,Marine Parade,1940
194,COLLYER QUAY,Marine Parade,2033
195,COMMONWEALTH AVENUE WEST,Marine Parade,3307
196,COMPASSVALE BOW,Marine Parade,2624
197,CROSS STREET,Marine Parade,1903
198,CUSCADEN ROAD,Marine Parade,2590
199,EAST COAST ROAD,Marine Parade,1391
200,EASTWOOD ROAD,Marine Parade,2180
201,ENG HOON STREET,Marine Parade,2642
202,ENGGOR STREET,Marine Parade,2277
203,EU TONG SEN STREET,Marine Parade,2266
204,FOCH ROAD,Marine Parade,1716
205,GEYLANG ROAD,Marine Parade,1074
206,GOLDHILL PLAZA,Marine Parade,2054
207,GOPENG STREET,Marine Parade,2242
208,GUILLEMARD ROAD,Marine Parade,1157
209,HANDY ROAD,Marine Parade,1790
210,HAVELOCK ROAD,Marine Parade,2798
211,HIGH STREET,Marine Parade,1998
212,HOLLAND AVENUE,Marine Parade,3216
213,HOUGANG AVENUE 10,Marine Parade,3380
214,HOUGANG STREET 51,Marine Parade,3333
215,HOUGANG STREET 91,Marine Parade,3366
216,IRRAWADDY ROAD,Marine Parade,2274
217,JALAN ANAK BUKIT,Marine Parade,3042
218,JALAN BESAR,Marine Parade,1833
219,JALAN JURONG KECHIL,Marine Parade,2958
220,JALAN LEGUNDI,Marine Parade,4782
221,JALAN MASJID,Marine Parade,1681
222,JALAN SULTAN,Marine Parade,1601
223,JELEBU ROAD,Marine Parade,3642
224,JOO CHIAT ROAD,Marine Parade,2196
225,JOO KOON CIRCLE,Marine Parade,5154
226,JURONG EAST STREET 21,Marine Parade,3951
227,JURONG GATEWAY ROAD,Marine Parade,3671
