"","StreetName","MallName","Distance","number_of_malls"
"1","AIRPORT BOULEVARD","Jewel Changi Airport",1341.72692770378,0
"2","ALBERT STREET","Sim Lim Square",205.901052513321,3
"3","ALEXANDRA ROAD","Anchorpoint",1115.25991792424,0
"4","ANG MO KIO AVENUE 3","AMK Hub",842.73328515053,0
"5","ANSON ROAD","100 AM",228.70219913059,2
"6","BALESTIER ROAD","Zhongshan Mall",856.613633039595,0
"7","BATTERY ROAD","The Adelphi",636.874252127624,0
"8","BAYFRONT AVENUE","The Shoppes at Marina Bay Sands",290.407675115087,2
"9","BEACH ROAD","Duo",198.475005663025,6
"10","BEDOK NORTH STREET 1","Djitsun Mall Bedok",235.074279686792,3
"11","BEDOK ROAD","Eastpoint Mall",1361.98063559902,0
"12","BENCOOLEN STREET","Sunshine Plaza",99.0881620409642,4
"13","BIDADARI PARK DRIVE","The Poiz",867.059674872822,0
"14","BRAS BASAH ROAD","Raffles City",292.710498467335,4
"15","BROOKE ROAD","Roxy Square",65.6915740505502,5
"16","BUKIT TIMAH ROAD","Beauty World Centre",1763.79368269149,0
"17","CAVAN ROAD","Aperia",313.676902344484,1
"18","CECIL STREET","Square 2",321.399957556018,1
"19","CENTRAL BOULEVARD","Marina Bay Link Mall",497.954037536614,1
"20","CHANGI BUSINESS PARK CENTRAL 1","Changi City Point",463.95984274978,1
"21","CHANGI ROAD","Singpost Centre",1040.79656959042,0
"22","CHIN SWEE ROAD","People's Park Centre",284.435676880442,3
"23","CHOA CHU KANG AVENUE 4","Sunshine Place",515.626224879947,0
"24","CHOA CHU KANG NORTH 6","Yew Tee Point",128.033679386471,2
"25","CLAYMORE DRIVE","Palais Renaissance",59.3820363978952,6
"26","CLEMENCEAU AVENUE","Plaza Singapura",371.893129322627,2
"27","CLEMENTI AVENUE 3","321 Clementi",104.021009034144,3
"28","COLEMAN STREET","The Adelphi",8.81733550137472,5
"29","COLLYER QUAY","Marina Bay Link Mall",547.996644287651,0
"30","COMMONWEALTH AVENUE WEST","321 Clementi",1074.79898880317,0
"31","COMPASSVALE BOW","Hougang Green Shopping Mall",677.384388592075,0
"32","CROSS STREET","Square 2",505.478393505336,0
"33","CUSCADEN ROAD","Tanglin Mall",273.487165873969,4
"34","EAST COAST ROAD","Bedok Mall",1453.39046003435,0
"35","EASTWOOD ROAD","Changi City Point",1601.03006073637,0
"36","ENG HOON STREET","Tiong Bahru Plaza",869.82552185786,0
"37","ENGGOR STREET","100 AM",89.6378629980269,2
"38","EU TONG SEN STREET","People's Park Complex",49.7158233966399,3
"39","FOCH ROAD","City Square Mall",433.730110879446,2
"40","GEYLANG ROAD","City Plaza",492.929423911689,1
"41","GOLDHILL PLAZA","United Square",72.2753254791828,2
"42","GOPENG STREET","100 AM",154.384489033546,2
"43","GUILLEMARD ROAD","City Plaza",1170.62138909935,0
"44","HANDY ROAD","Plaza Singapura",371.689598470485,2
"45","HAVELOCK ROAD","Tiong Bahru Plaza",294.179767569676,1
"46","HIGH STREET","Funan",100.899295766549,3
"47","HOLLAND AVENUE","The Star Vista",786.041606703422,0
"48","HOUGANG AVENUE 10","Hougang Mall",442.889068509461,1
"49","HOUGANG STREET 51","Hougang Green Shopping Mall",84.8792127106933,1
"50","HOUGANG STREET 91","Hougang Green Shopping Mall",664.386022960615,0
"51","IRRAWADDY ROAD","Velocity@Novena Square",162.95705195547,2
"52","JALAN ANAK BUKIT","Bukit Timah Plaza",235.117975204187,3
"53","JALAN BESAR","City Square Mall",293.426501285716,1
"54","JALAN JURONG KECHIL","Beauty World Plaza",269.135708224004,3
"55","JALAN LEGUNDI","Sembawang Shopping Centre",189.312703318932,1
"56","JALAN MASJID","i12 Katong",1820.97174097978,0
"57","JALAN SULTAN","Duo",565.334412181872,0
"58","JELEBU ROAD","Bukit Panjang Plaza",57.4551295463373,3
"59","JOO CHIAT ROAD","Singpost Centre",597.95734952905,0
"60","JOO KOON CIRCLE","Pioneer Mall",3322.96922145482,0
"61","JURONG EAST STREET 21","Westgate",359.841199174779,3
"62","JURONG GATEWAY ROAD","JCube",71.2261868112141,3
"63","JURONG WEST CENTRAL 2","Jurong Point",104.244714997683,1
"64","JURONG WEST CENTRAL 3","Jurong Point",135.677416824107,1
"65","KALLANG AVENUE","Aperia",78.2824263163477,1
"66","KELANTAN LANE","City Square Mall",536.793461959031,0
