,Street_name,Planning_area,Time_taken_drive
0,ALBERT STREET,Bukit Timah,1125
1,ALEXANDRA ROAD,Bukit Timah,864
2,ANG MO KIO AVENUE 3,Bukit Timah,1277
3,ANSON ROAD,Bukit Timah,1277
4,BALESTIER ROAD,Bukit Timah,1014
5,BATTERY ROAD,Bukit Timah,1376
6,BAYFRONT AVENUE,Bukit Timah,1364
7,BEACH ROAD,Bukit Timah,1131
8,BEDOK NORTH STREET 1,Bukit Timah,1715
9,BEDOK ROAD,Bukit Timah,1844
10,BENCOOLEN STREET,Bukit Timah,1067
11,BIDADARI PARK DRIVE,Bukit Timah,1146
12,BRAS BASAH ROAD,Bukit Timah,1125
13,BROOKE ROAD,Bukit Timah,1534
14,BUKIT TIMAH ROAD,Bukit Timah,736
15,CAVAN ROAD,Bukit Timah,1216
16,CECIL STREET,Bukit Timah,1361
17,CENTRAL BOULEVARD,Bukit Timah,1390
18,CHANGI BUSINESS PARK CENTRAL 1,Bukit Timah,2029
19,CHANGI ROAD,Bukit Timah,1391
20,CHIN SWEE ROAD,Bukit Timah,1201
21,CHOA CHU KANG AVENUE 4,Bukit Timah,1153
22,CHOA CHU KANG NORTH 6,Bukit Timah,1255
23,CLAYMORE DRIVE,Bukit Timah,877
24,CLEMENCEAU AVENUE,Bukit Timah,1286
25,CLEMENTI AVENUE 3,Bukit Timah,713
26,COLEMAN STREET,Bukit Timah,1281
27,COLLYER QUAY,Bukit Timah,1371
28,COMMONWEALTH AVENUE WEST,Bukit Timah,651
29,COMPASSVALE BOW,Bukit Timah,1918
30,CROSS STREET,Bukit Timah,1366
31,CUSCADEN ROAD,Bukit Timah,854
32,EAST COAST ROAD,Bukit Timah,1701
33,EASTWOOD ROAD,Bukit Timah,2010
34,ENG HOON STREET,Bukit Timah,1153
35,ENGGOR STREET,Bukit Timah,1294
36,EU TONG SEN STREET,Bukit Timah,1259
37,FOCH ROAD,Bukit Timah,1174
38,GEYLANG ROAD,Bukit Timah,1297
39,GOLDHILL PLAZA,Bukit Timah,928
40,GOPENG STREET,Bukit Timah,1324
41,GUILLEMARD ROAD,Bukit Timah,1296
42,HANDY ROAD,Bukit Timah,1075
43,HAVELOCK ROAD,Bukit Timah,1128
44,HIGH STREET,Bukit Timah,1223
45,HOLLAND AVENUE,Bukit Timah,477
46,HOUGANG AVENUE 10,Bukit Timah,1761
47,HOUGANG STREET 51,Bukit Timah,1782
48,HOUGANG STREET 91,Bukit Timah,1732
49,IRRAWADDY ROAD,Bukit Timah,945
50,JALAN ANAK BUKIT,Bukit Timah,283
51,JALAN BESAR,Bukit Timah,1161
52,JALAN JURONG KECHIL,Bukit Timah,304
53,JALAN LEGUNDI,Bukit Timah,1973
54,JALAN MASJID,Bukit Timah,1480
55,JALAN SULTAN,Bukit Timah,1144
56,JELEBU ROAD,Bukit Timah,882
57,JOO CHIAT ROAD,Bukit Timah,1356
58,JOO KOON CIRCLE,Bukit Timah,1459
59,JURONG EAST STREET 21,Bukit Timah,747
60,JURONG GATEWAY ROAD,Bukit Timah,843
61,JURONG WEST CENTRAL 2,Bukit Timah,1103
62,JURONG WEST CENTRAL 3,Bukit Timah,1184
63,KALLANG AVENUE,Bukit Timah,1325
64,KELANTAN LANE,Bukit Timah,1135
65,KEPPEL ROAD,Bukit Timah,1280
66,KITCHENER ROAD,Bukit Timah,1125
67,KOEK ROAD,Bukit Timah,1030
68,LAVENDER STREET,Bukit Timah,1134
69,LORONG 22 GEYLANG,Bukit Timah,1266
70,LORONG 4 TOA PAYOH,Bukit Timah,977
71,LORONG KILAT,Bukit Timah,386
72,LORONG LIPUT,Bukit Timah,467
73,MACPHERSON ROAD,Bukit Timah,1038
74,MAJU AVENUE,Bukit Timah,1491
75,MARINA BOULEVARD,Bukit Timah,1369
76,MARINA VIEW,Bukit Timah,1393
77,MARINE PARADE ROAD,Bukit Timah,1648
78,MARITIME SQUARE,Bukit Timah,1318
79,MARKET STREET,Bukit Timah,1722
80,MARNE ROAD,Bukit Timah,1186
81,MERCHANT ROAD,Bukit Timah,1223
82,MIDDLE ROAD,Bukit Timah,1086
83,MOHAMED SULTAN ROAD,Bukit Timah,1168
84,MOUNTBATTEN ROAD,Bukit Timah,1328
85,NEW BRIDGE ROAD,Bukit Timah,1246
86,NEW UPPER CHANGI ROAD,Bukit Timah,1886
87,NORTH BRIDGE ROAD,Bukit Timah,1147
88,NORTH BUONA VISTA DRIVE,Bukit Timah,620
89,NORTHPOINT DRIVE,Bukit Timah,2008
90,OCEAN WAY,Bukit Timah,1833
91,ORCHARD ROAD,Bukit Timah,939
92,ORCHARD TURN,Bukit Timah,1039
93,OUTRAM ROAD,Bukit Timah,1192
94,PASIR PANJANG ROAD,Bukit Timah,952
95,PASIR RIS CENTRAL,Bukit Timah,2093
96,PASIR RIS CLOSE,Bukit Timah,2155
97,PAYA LEBAR ROAD,Bukit Timah,1294
98,PENANG ROAD,Bukit Timah,1066
99,PETIR ROAD,Bukit Timah,886
100,PUNGGOL CENTRAL,Bukit Timah,2184
101,QUEENSWAY,Bukit Timah,724
102,RACE COURSE ROAD,Bukit Timah,1152
103,RAFFLES AVENUE,Bukit Timah,1369
104,RAFFLES BOULEVARD,Bukit Timah,1234
105,RAFFLES LINK,Bukit Timah,1370
106,RAFFLES PLACE,Bukit Timah,1328
107,RAFFLES QUAY,Bukit Timah,1321
108,RANGOON ROAD,Bukit Timah,1079
109,RIVER VALLEY ROAD,Bukit Timah,1004
110,RIVERVALE CRESCENT,Bukit Timah,2073
111,ROBERTSON QUAY,Bukit Timah,1203
112,ROBINSON ROAD,Bukit Timah,1355
113,ROCHOR CANAL ROAD,Bukit Timah,1025
114,ROCHOR ROAD,Bukit Timah,1108
115,SAM LEONG ROAD,Bukit Timah,1165
116,SCOTTS ROAD,Bukit Timah,806
117,SELEGIE ROAD,Bukit Timah,1102
118,SEMBAWANG DRIVE,Bukit Timah,1921
119,SEMBAWANG ROAD,Bukit Timah,1947
120,SENGKANG SQUARE,Bukit Timah,1910
121,SENGKANG WEST AVENUE,Bukit Timah,1675
122,SERANGOON CENTRAL,Bukit Timah,1432
123,SERANGOON ROAD,Bukit Timah,1320
124,SHENTON WAY,Bukit Timah,1393
125,SIMS AVENUE,Bukit Timah,1315
126,SIMS DRIVE,Bukit Timah,1250
127,SIN MING ROAD,Bukit Timah,978
128,SINARAN DRIVE,Bukit Timah,1005
129,SOMERSET ROAD,Bukit Timah,1020
130,SOUTH BRIDGE ROAD,Bukit Timah,1245
131,SOUTH BUONA VISTA ROAD,Bukit Timah,821
132,STADIUM WALK,Bukit Timah,1489
133,STAMFORD ROAD,Bukit Timah,1224
134,TAI SENG STREET,Bukit Timah,1350
135,TAI THONG CRESCENT,Bukit Timah,1028
136,TAMPINES CENTRAL 1,Bukit Timah,1905
137,TAMPINES CENTRAL 5,Bukit Timah,1815
138,TAMPINES STREET 32,Bukit Timah,1821
139,TAN QUEE LAN STREET,Bukit Timah,1182
140,TANGLIN ROAD,Bukit Timah,902
141,TANJONG KATONG ROAD,Bukit Timah,1331
142,TELOK AYER STREET,Bukit Timah,1326
143,TELOK KURAU ROAD,Bukit Timah,1534
144,TEMASEK BOULEVARD,Bukit Timah,1305
145,TESSENSOHN ROAD,Bukit Timah,1130
146,THOMSON ROAD,Bukit Timah,890
147,TIONG BAHRU ROAD,Bukit Timah,1139
148,TRAS STREET,Bukit Timah,1313
149,UNITY STREET,Bukit Timah,1180
150,UPPER BUKIT TIMAH ROAD,Bukit Timah,881
151,UPPER CIRCULAR ROAD,Bukit Timah,1232
152,UPPER CROSS STREET,Bukit Timah,1263
153,UPPER SERANGOON ROAD,Bukit Timah,1503
154,UPPER THOMSON ROAD,Bukit Timah,1021
