0,Street_name,Planning_area,Time_taken_drive
1,AIRPORT BOULEVARD,Bedok,888
2,AIRPORT BOULEVARD,Straits View,1401
3,AIRPORT BOULEVARD,Jurong East,2453
4,AIRPORT BOULEVARD,Hougang,1502
5,AIRPORT BOULEVARD,Jurong West,2741
6,AIRPORT BOULEVARD,Choa Chu Kang,2556
7,AIRPORT BOULEVARD,Kallang,1466
8,AIRPORT BOULEVARD,Mandai,1812
9,AIRPORT BOULEVARD,Tengah,2507
10,AIRPORT BOULEVARD,Marina East,1071
11,AIRPORT BOULEVARD,Marina South,1422
12,AIRPORT BOULEVARD,Museum,1596
13,AIRPORT BOULEVARD,Novena,1393
14,AIRPORT BOULEVARD,Outram,1524
15,AIRPORT BOULEVARD,Paya Lebar,1217
16,AIRPORT BOULEVARD,River Valley,1688
17,AIRPORT BOULEVARD,Rochor,1305
18,AIRPORT BOULEVARD,Seletar,1579
19,AIRPORT BOULEVARD,Sengkang,1299
20,AIRPORT BOULEVARD,Serangoon,1716
21,AIRPORT BOULEVARD,Toa Payoh,1459
22,AIRPORT BOULEVARD,Singapore River,1555
23,AIRPORT BOULEVARD,Sungei Kadut,2571
24,AIRPORT BOULEVARD,Yishun,1938
25,AIRPORT BOULEVARD,Geylang,1129
26,AIRPORT BOULEVARD,Ang Mo Kio,1940
27,AIRPORT BOULEVARD,Clementi,2241
28,AIRPORT BOULEVARD,Bukit Panjang,2138
29,AIRPORT BOULEVARD,Bishan,1851
30,AIRPORT BOULEVARD,Bukit Timah,2078
31,AIRPORT BOULEVARD,Bukit Batok,2364
32,AIRPORT BOULEVARD,Central Water Catchment,2312
33,AIRPORT BOULEVARD,Downtown Core,1424
34,AIRPORT BOULEVARD,Changi,2225
35,AIRPORT BOULEVARD,Changi Bay,1221
36,AIRPORT BOULEVARD,Lim Chu Kang,3028
37,AIRPORT BOULEVARD,Boon Lay,2856
38,AIRPORT BOULEVARD,Western Water Catchment,3115
39,AIRPORT BOULEVARD,Woodlands,2328
40,AIRPORT BOULEVARD,Marine Parade,1020
41,AIRPORT BOULEVARD,Bukit Merah,1668
42,AIRPORT BOULEVARD,Orchard,1602
43,AIRPORT BOULEVARD,Newton,1649
44,AIRPORT BOULEVARD,Western Islands,3644
45,AIRPORT BOULEVARD,Tanglin,1862
46,AIRPORT BOULEVARD,Tampines,704
47,AIRPORT BOULEVARD,Tuas,3984
48,AIRPORT BOULEVARD,Queenstown,2026
49,AIRPORT BOULEVARD,Punggol,1175
50,AIRPORT BOULEVARD,Pioneer,2994
51,AIRPORT BOULEVARD,Pasir Ris,800
52,AIRPORT BOULEVARD,Sembawang,2425
53,AIRPORT BOULEVARD,Southern Islands,2315
54,ALBERT STREET,Orchard,301
55,ALBERT STREET,Kallang,455
56,ALBERT STREET,Mandai,1501
57,ALBERT STREET,Seletar,1512
58,ALBERT STREET,Bukit Timah,1125
59,ALBERT STREET,Western Water Catchment,2361
60,ALBERT STREET,Straits View,670
61,ALBERT STREET,Rochor,159
62,ALBERT STREET,Tuas,2911
63,ALBERT STREET,River Valley,388
64,ALBERT STREET,Boon Lay,1765
65,ALBERT STREET,Tengah,1753
66,ALBERT STREET,Yishun,1697
67,ALBERT STREET,Marina East,874
68,ALBERT STREET,Paya Lebar,1041
69,ALBERT STREET,Changi,3188
70,ALBERT STREET,Bishan,1009
71,ALBERT STREET,Western Islands,2571
72,ALBERT STREET,Lim Chu Kang,2631
73,ALBERT STREET,Downtown Core,302
74,ALBERT STREET,Ang Mo Kio,1200
75,ALBERT STREET,Queenstown,953
76,ALBERT STREET,Choa Chu Kang,1795
77,ALBERT STREET,Marina South,644
78,ALBERT STREET,Bukit Batok,1609
79,ALBERT STREET,Toa Payoh,854
