"","Street_name","Planning_Area","number_of_bus_stops","dist_to_nearest_bus_stop","inversed_dist_to_nearest_bus_stop","BusStopCode"
"1","AIRPORT BOULEVARD","CHANGI",2,129.704065997216,0.00770985853305063,"95019"
"2","ALBERT STREET","ROCHOR",4,125.745909424281,0.00795254497405465,"07539"
"3","ALEXANDRA ROAD","BUKIT MERAH",4,92.7488076346557,0.0107818097666449,"10281"
"4","ANG MO KIO AVENUE 3","ANG MO KIO",4,18.3044753260057,0.0546314484403315,"54289"
"5","ANSON ROAD","DOWNTOWN CORE",5,18.6426013593337,0.0536405827022277,"03241"
"6","BALESTIER ROAD","NOVENA",4,96.242332023564,0.0103904381676367,"50221"
"7","BATTERY ROAD","DOWNTOWN CORE",2,181.693574996067,0.00550377194142197,"03011"
"8","BAYFRONT AVENUE","DOWNTOWN CORE",3,36.3855106284488,0.027483467532214,"03511"
"9","BEACH ROAD","DOWNTOWN CORE",10,110.935998792951,0.00901420648734938,"01541"
"10","BEDOK NORTH STREET 1","BEDOK",2,168.825111484145,0.00592328943963951,"84651"
"11","BEDOK ROAD","BEDOK",6,96.8918087624828,0.0103207898869074,"85061"
"12","BENCOOLEN STREET","ROCHOR",7,60.5537339764689,0.0165142582353154,"07571"
"13","BIDADARI PARK DRIVE","TOA PAYOH",3,163.000743594218,0.00613494133799442,"70069"
"14","BRAS BASAH ROAD","MUSEUM",8,54.5404460473046,0.0183350168998007,"04179"
"15","BROOKE ROAD","MARINE PARADE",5,144.591261508547,0.00691604727399716,"92119"
"16","BUKIT TIMAH ROAD","CENTRAL WATER CATCHMENT",0,1669.32726067218,0.000599043712733319,"42109"
"17","CAVAN ROAD","KALLANG",3,93.3379489964776,0.0107137558811983,"07361"
"18","CECIL STREET","DOWNTOWN CORE",3,88.5407145093606,0.0112942391027834,"03071"
"19","CENTRAL BOULEVARD","DOWNTOWN CORE",1,201.283448629629,0.00496811837638993,"03539"
"20","CHANGI BUSINESS PARK CENTRAL 1","TAMPINES",4,10.6296810831274,0.0940761996695566,"96401"
"21","CHANGI ROAD","GEYLANG",2,137.608109277812,0.00726701358842986,"82069"
"22","CHIN SWEE ROAD","OUTRAM",2,148.461584695849,0.00673574919767078,"06189"
"23","CHOA CHU KANG AVENUE 4","CHOA CHU KANG",3,126.679204293199,0.00789395548842809,"44499"
"24","CHOA CHU KANG NORTH 6","CHOA CHU KANG",5,117.613175143028,0.00850244880119863,"45321"
"25","CLAYMORE DRIVE","ORCHARD",2,130.447833354164,0.00766589964959415,"09169"
"26","CLEMENCEAU AVENUE","MUSEUM",4,77.931636742595,0.0128317592417949,"08011"
"27","CLEMENTI AVENUE 3","CLEMENTI",4,37.1427058121719,0.0269231866158844,"17239"
"28","COLEMAN STREET","DOWNTOWN CORE",5,93.2897277069717,0.0107192938020042,"04168"
"29","COLLYER QUAY","DOWNTOWN CORE",2,67.7271966950032,0.0147651172468176,"03019"
"30","COMMONWEALTH AVENUE WEST","QUEENSTOWN",2,31.8522792563417,0.031394927563964,"19049"
"31","COMPASSVALE BOW","SENGKANG",2,204.182559842951,0.00489757793598612,"67711"
"32","CROSS STREET","OUTRAM",2,58.680443217371,0.0170414527425378,"03041"
"33","CUSCADEN ROAD","ORCHARD",3,94.7514381300302,0.0105539295206018,"09191"
"34","EAST COAST ROAD","BEDOK",4,32.0675643634851,0.0311841581937756,"93079"
"35","EASTWOOD ROAD","BEDOK",5,69.9006841653281,0.0143060116212141,"85019"
"36","ENG HOON STREET","BUKIT MERAH",2,121.519972028572,0.00822909998502042,"06051"
"37","ENGGOR STREET","DOWNTOWN CORE",6,83.4459144420049,0.0119838101923492,"03222"
"38","EU TONG SEN STREET","OUTRAM",2,58.5044018164118,0.017092730956177,"05013"
"39","FOCH ROAD","KALLANG",4,64.5081645092931,0.0155019137128904,"07329"
"40","GEYLANG ROAD","GEYLANG",3,184.930214413224,0.00540744519857374,"81069"
"41","GOLDHILL PLAZA","NOVENA",4,97.1759205791443,0.0102906151445775,"50021"
"42","GOPENG STREET","DOWNTOWN CORE",5,138.452488346427,0.0072226943115523,"03241"
"43","GUILLEMARD ROAD","GEYLANG",2,65.2230856663543,0.0153319946424408,"81169"
"44","HANDY ROAD","MUSEUM",5,57.4210114132847,0.017415227899811,"08041"
"45","HAVELOCK ROAD","BUKIT MERAH",4,157.389186382593,0.00635367665964754,"10231"
"46","HIGH STREET","DOWNTOWN CORE",6,80.1351269075836,0.0124789220232128,"04229"
"47","HOLLAND AVENUE","QUEENSTOWN",5,9.05210612735031,0.110471528496398,"11401"
"48","HOUGANG AVENUE 10","HOUGANG",4,43.7625174661672,0.0228506049902888,"64071"
"49","HOUGANG STREET 51","HOUGANG",5,29.7098372475564,0.033658885158728,"64441"
"50","HOUGANG STREET 91","HOUGANG",4,45.9791265673576,0.021748999484256,"64251"
"51","IRRAWADDY ROAD","NOVENA",3,99.627455205566,0.0100373937880542,"50038"
"52","JALAN ANAK BUKIT","BUKIT TIMAH",3,134.465772681609,0.00743683675077538,"42259"
