"","Street_name","Planning_Area","number_of_stations","dist_to_nearest_mrt","inversed_dist_to_nearest_mrt","station_name","StationCode"
"1","AIRPORT BOULEVARD","CHANGI",0,987.039138947855,0.00101313105077673,"Changi Airport","CG2"
"2","ALBERT STREET","ROCHOR",4,158.559312109348,0.0063067882087579,"Rochor","DT13"
"3","ALEXANDRA ROAD","BUKIT MERAH",1,266.616106632689,0.00375071113530916,"Redhill","EW18"
"4","ANG MO KIO AVENUE 3","ANG MO KIO",0,724.332134936453,0.00138058212768336,"Ang Mo Kio","NS16"
"5","ANSON ROAD","DOWNTOWN CORE",1,216.975220623856,0.00460882121527408,"Tanjong Pagar","EW15"
"6","BALESTIER ROAD","NOVENA",0,995.842992188403,0.00100417436066148,"Novena","NS20"
"7","BATTERY ROAD","DOWNTOWN CORE",2,157.026612213462,0.00636834728778712,"Raffles Place","EW14"
"8","BAYFRONT AVENUE","DOWNTOWN CORE",2,33.5357687974508,0.0298189078663977,"Bayfront","CE1"
"9","BEACH ROAD","DOWNTOWN CORE",2,166.194558344949,0.00601704417977649,"Bugis","DT14"
"10","BEDOK NORTH STREET 1","BEDOK",1,281.915304622716,0.00354716463988462,"Bedok","EW5"
"11","BEDOK ROAD","BEDOK",0,518.635804067254,0.00192813529678781,"Tanah Merah","EW4"
"12","BENCOOLEN STREET","ROCHOR",4,179.026248314261,0.00558577308867362,"Bencoolen","DT21"
"13","BIDADARI PARK DRIVE","TOA PAYOH",1,197.275658397012,0.00506904910684686,"Woodleigh","NE11"
"14","BRAS BASAH ROAD","MUSEUM",5,150.196631422023,0.006657938933332,"Bras Basah","CC2"
"15","BROOKE ROAD","MARINE PARADE",1,177.408583834768,0.00563670583680079,"Marine Parade","TE26"
"16","BUKIT TIMAH ROAD","CENTRAL WATER CATCHMENT",0,1916.01541367746,0.000521916469388245,"Beauty World","DT5"
"17","CAVAN ROAD","KALLANG",2,346.044520637182,0.00288980157281112,"Bendemeer","DT23"
"18","CECIL STREET","DOWNTOWN CORE",3,216.154340614748,0.00462632393666477,"Telok Ayer","DT18"
"19","CENTRAL BOULEVARD","DOWNTOWN CORE",3,196.548780133578,0.005087795504609,"Marina Bay","CE2"
"20","CHANGI BUSINESS PARK CENTRAL 1","TAMPINES",1,441.221620405987,0.00226643472067361,"Expo","DT35"
"21","CHANGI ROAD","GEYLANG",1,274.518034717011,0.00364274792011701,"Eunos","EW7"
"22","CHIN SWEE ROAD","OUTRAM",2,374.579011287167,0.00266966372879168,"Chinatown","NE4"
"23","CHOA CHU KANG AVENUE 4","CHOA CHU KANG",0,551.827529800082,0.00181216040519451,"Choa Chu Kang","BP1"
"24","CHOA CHU KANG NORTH 6","CHOA CHU KANG",1,133.551438103093,0.00748775164239014,"Yew Tee","NS5"
"25","CLAYMORE DRIVE","ORCHARD",1,468.482332737983,0.00213455221279239,"Orchard","NS22"
"26","CLEMENCEAU AVENUE","MUSEUM",3,285.424259444879,0.0035035564319056,"Dhoby Ghaut","NS24"
"27","CLEMENTI AVENUE 3","CLEMENTI",1,274.728379238151,0.00363995886691102,"Clementi","EW23"
"28","COLEMAN STREET","DOWNTOWN CORE",2,240.878253115879,0.00415147480963726,"City Hall","EW13"
"29","COLLYER QUAY","DOWNTOWN CORE",2,150.643956260514,0.00663816873124776,"Raffles Place","EW14"
"30","COMMONWEALTH AVENUE WEST","QUEENSTOWN",1,459.672171502277,0.00217546343241065,"Dover","EW22"
"31","COMPASSVALE BOW","SENGKANG",1,161.286993876594,0.00620012795802451,"Buangkok","NE15"
"32","CROSS STREET","OUTRAM",4,14.997368849071,0.0666783627224012,"Telok Ayer","DT18"
"33","CUSCADEN ROAD","ORCHARD",1,401.03903437022,0.00249352286011353,"Orchard Boulevard","TE13"
"34","EAST COAST ROAD","BEDOK",0,591.452416008527,0.00169075309007713,"Siglap","TE28"
"35","EASTWOOD ROAD","BEDOK",0,1237.76412737341,0.000807908371138567,"Tanah Merah","EW4"
"36","ENG HOON STREET","BUKIT MERAH",0,540.985086385731,0.00184847979207875,"Havelock","TE16"
"37","ENGGOR STREET","DOWNTOWN CORE",1,312.613316472346,0.00319884005993219,"Tanjong Pagar","EW15"
"38","EU TONG SEN STREET","OUTRAM",5,113.318769356534,0.00882466343111886,"Chinatown","NE4"
"39","FOCH ROAD","KALLANG",1,319.119791716363,0.0031336194932366,"Bendemeer","DT23"
"40","GEYLANG ROAD","GEYLANG",1,486.033970104167,0.0020574693571021,"Paya Lebar","CC9"
"41","GOLDHILL PLAZA","NOVENA",1,292.888548309913,0.0034142680066203,"Novena","NS20"
