Reference Quarter,Street,25th Percentile Retail Rent ($ PSM per month),Median Retail Rent ($ PSM per month),75th Percentile Retail Rent ($ PSM per month)
2024Q2,AIRPORT BOULEVARD,197.76,245.87,352.18
2024Q2,ALBERT STREET,-,-,-
2024Q2,ALEXANDRA ROAD,76.25,106.67,131.78
2024Q2,ANG MO KIO AVENUE 3,277.71,327.3,433.81
2024Q2,ANSON ROAD,88.38,91.67,139.89
2024Q2,BALESTIER ROAD,52.23,57.83,80.44
2024Q2,BATTERY ROAD,-,122.22,-
2024Q2,BAYFRONT AVENUE,414.57,484.14,540.92
2024Q2,BEACH ROAD,74.42,97.06,117.74
2024Q2,BEDOK ROAD,-,96.75,-
2024Q2,BENCOOLEN STREET,131.29,179.81,210.08
2024Q2,BRAS BASAH ROAD,169.31,174.48,185.44
2024Q2,BROOKE ROAD,50,51.52,52.94
2024Q2,BUKIT TIMAH ROAD,96.78,113.79,119.04
2024Q2,CAVAN ROAD,-,67.57,-
2024Q2,CECIL STREET,64.72,121.6,237.95
2024Q2,CENTRAL BOULEVARD,136.88,174.49,195.41
2024Q2,CHANGI BUSINESS PARK CENTRAL 1,129.25,169.64,202.61
2024Q2,CHANGI ROAD,63.05,76.87,94.17
2024Q2,CHIN SWEE ROAD,-,-,-
2024Q2,CHOA CHU KANG AVENUE 4,236.08,287.72,335.26
2024Q2,CHOA CHU KANG NORTH 6,215.16,256.14,365.5
2024Q2,CHULIA STREET,-,-,-
2024Q2,CHURCH STREET,-,-,-
2024Q2,CLEMENCEAU AVENUE,64.64,82.09,107.6
2024Q2,COLEMAN STREET,69.18,85.1,103.86
2024Q2,COLLYER QUAY,151.69,195.66,263.02
2024Q2,COMMONWEALTH AVENUE WEST,218.86,263.44,345.48
2024Q2,COMPASSVALE BOW,-,313.02,-
2024Q2,CUPPAGE ROAD,-,-,-
2024Q2,CUSCADEN ROAD,-,143.66,-
2024Q2,EAST COAST ROAD,71.81,86.12,155.17
2024Q2,EU TONG SEN STREET,81.82,90.33,111.8
2024Q2,FOCH ROAD,-,-,-
2024Q2,GEYLANG ROAD,60.95,86.95,118.06
2024Q2,GOLDHILL PLAZA,-,105.17,-
2024Q2,GOPENG STREET,83.98,93.34,125.22
2024Q2,GUILLEMARD ROAD,44.32,54.05,58.82
2024Q2,HARBOURFRONT PLACE,-,-,-
2024Q2,HAVELOCK ROAD,68.78,108.09,132.71
2024Q2,HIGH STREET,-,-,-
2024Q2,HOLLAND AVENUE,108.12,115.62,133.46
2024Q2,HOUGANG AVENUE 10,207.28,274.59,351.77
2024Q2,HOUGANG STREET 51,78.38,86.07,92.59
2024Q2,IRRAWADDY ROAD,146.02,179.08,212.53
2024Q2,JALAN ANAK BUKIT,89.16,107.14,117.24
2024Q2,JALAN BESAR,45.54,55.26,75.52
2024Q2,JALAN JURONG KECHIL,95.71,111.11,127.78
2024Q2,JALAN MASJID,52.7,65.68,81.07
2024Q2,JALAN SULTAN,46.07,58.24,70.06
2024Q2,JELEBU ROAD,223.69,262.91,327.92
2024Q2,JOO CHIAT ROAD,64.22,75.36,80.73
2024Q2,JURONG EAST STREET 21,148.78,195.74,252.04
2024Q2,JURONG GATEWAY ROAD,219.17,303.6,440
2024Q2,JURONG WEST CENTRAL 2,199.34,252.57,320.52
2024Q2,JURONG WEST CENTRAL 3,227.95,307.69,373.64
2024Q2,KALLANG AVENUE,94.36,121.52,149.6
2024Q2,KEPPEL ROAD,-,-,-
2024Q2,KILLINEY ROAD,-,-,-
2024Q2,KIM TIAN ROAD,-,-,-
2024Q2,KITCHENER ROAD,92.51,125.96,189.29
2024Q2,KOEK ROAD,86.2,103.66,107.84
