Postal District,Floor Level,Floor Area (SQM),25th Percentile ($ PSM),Median ($PSM),75th Percentile ($PSM),Reference Period
01,B1 & Below,30 & Below,107.64,176.26,349.41,2024Q4
01,B1 & Below,>30 - 100,67.00,95.94,120.71,2024Q4
01,B1 & Below,>100 - 300,135.15,221.83,328.66,2024Q4
01,Level 1,30 & Below,181.57,241.40,369.50,2024Q4
01,Level 1,>30 - 100,104.42,167.41,270.23,2024Q4
01,Level 1,>100 - 300,80.75,122.78,175.32,2024Q4
01,Level 1,>300,46.74,57.75,86.26,2024Q4
01,Level 2 & 3,30 & Below,85.37,139.48,219.17,2024Q4
01,Level 2 & 3,>30 - 100,82.27,109.52,199.54,2024Q4
01,Level 2 & 3,>100 - 300,70.13,83.00,113.77,2024Q4
01,Level 2 & 3,>300,81.65,91.49,103.55,2024Q4
01,Level 4 & Above,>30 - 100,82.82,90.33,110.93,2024Q4
01,Level 4 & Above,>300,77.50,100.11,128.09,2024Q4
02,Level 1,30 & Below,131.82,140.11,150.00,2024Q4
02,Level 1,>30 - 100,120.40,168.50,176.14,2024Q4
02,Level 1,>100 - 300,80.70,102.28,107.14,2024Q4
02,Level 2 & 3,30 & Below,91.50,91.50,91.67,2024Q4
02,Level 2 & 3,>30 - 100,93.21,96.87,110.30,2024Q4
02,Level 2 & 3,>100 - 300,75.32,86.74,123.75,2024Q4
02,Level 4 & Above,>30 - 100,67.05,75.74,141.22,2024Q4
03,B1 & Below,>100 - 300,77.97,85.98,91.97,2024Q4
03,Level 1,30 & Below,66.07,90.58,98.29,2024Q4
03,Level 1,>30 - 100,92.84,123.33,134.15,2024Q4
03,Level 2 & 3,30 & Below,84.79,90.78,101.53,2024Q4
03,Level 2 & 3,>30 - 100,63.07,70.31,80.03,2024Q4
04,B1 & Below,30 & Below,953.33,954.17,"1,042.08",2024Q4
04,B1 & Below,>30 - 100,377.70,389.28,446.95,2024Q4
04,Level 1,30 & Below,109.24,162.76,328.02,2024Q4
04,Level 1,>30 - 100,135.19,279.50,511.27,2024Q4
04,Level 1,>100 - 300,61.22,92.54,191.32,2024Q4
04,Level 1,>300,73.83,85.66,162.50,2024Q4
04,Level 2 & 3,>30 - 100,185.06,321.73,393.85,2024Q4
04,Level 2 & 3,>300,142.96,154.42,168.80,2024Q4
05,B1 & Below,30 & Below,54.69,56.70,58.04,2024Q4
05,B1 & Below,>100 - 300,83.79,87.10,88.98,2024Q4
05,Level 1,30 & Below,74.83,91.40,161.86,2024Q4
05,Level 1,>30 - 100,88.82,139.48,199.71,2024Q4
05,Level 2 & 3,30 & Below,101.34,102.05,127.64,2024Q4
05,Level 2 & 3,>30 - 100,83.43,102.16,158.61,2024Q4
05,Level 2 & 3,>100 - 300,98.29,106.42,124.84,2024Q4
05,Level 4 & Above,>30 - 100,169.25,261.00,305.94,2024Q4
06,B1 & Below,30 & Below,54.90,64.57,166.46,2024Q4
06,B1 & Below,>30 - 100,90.24,104.94,189.65,2024Q4
06,Level 1,>30 - 100,65.92,74.93,212.55,2024Q4
06,Level 1,>100 - 300,125.86,131.58,155.84,2024Q4
06,Level 2 & 3,30 & Below,51.67,88.38,100.35,2024Q4
06,Level 2 & 3,>30 - 100,71.36,93.02,142.86,2024Q4
06,Level 2 & 3,>100 - 300,151.47,183.74,188.53,2024Q4
06,Level 4 & Above,30 & Below,56.02,85.42,136.69,2024Q4
06,Level 4 & Above,>30 - 100,47.79,67.12,85.63,2024Q4
07,B1 & Below,30 & Below,72.08,121.16,137.85,2024Q4
07,B1 & Below,>30 - 100,68.71,81.25,94.58,2024Q4
07,Level 1,30 & Below,78.44,104.68,166.10,2024Q4
07,Level 1,>30 - 100,79.65,95.92,128.31,2024Q4
07,Level 1,>100 - 300,99.17,116.73,177.57,2024Q4
07,Level 2 & 3,30 & Below,72.73,86.33,118.52,2024Q4
07,Level 2 & 3,>30 - 100,57.89,81.08,112.90,2024Q4
07,Level 2 & 3,>100 - 300,63.69,93.06,96.35,2024Q4
07,Level 4 & Above,30 & Below,69.23,86.67,107.69,2024Q4
07,Level 4 & Above,>30 - 100,55.79,77.33,97.86,2024Q4
08,B1 & Below,30 & Below,77.47,150.00,227.59,2024Q4
08,B1 & Below,>30 - 100,69.97,111.19,270.21,2024Q4
08,B1 & Below,>100 - 300,104.50,112.22,140.68,2024Q4
08,Level 1,30 & Below,80.56,91.04,109.05,2024Q4
08,Level 1,>30 - 100,69.96,77.10,84.73,2024Q4
08,Level 2 & 3,30 & Below,79.20,96.07,108.17,2024Q4
