Reference Quarter,Street,25th Percentile Retail Rent ($ PSM per month),Median Retail Rent ($ PSM per month),75th Percentile Retail Rent ($ PSM per month)
2024Q3,AIRPORT BOULEVARD,207.68,291.32,362.27
2024Q3,ALBERT STREET,87.43,118.83,155.19
2024Q3,ALEXANDRA ROAD,91.52,120.23,160.55
2024Q3,ANG MO KIO AVENUE 3,249.41,299.16,381.91
2024Q3,ANSON ROAD,78.58,91.18,103.6
2024Q3,ARMENIAN STREET,-,-,-
2024Q3,BALESTIER ROAD,54.55,83.33,118.18
2024Q3,BATTERY ROAD,-,-,-
2024Q3,BAYFRONT AVENUE,398.34,484.46,624.87
2024Q3,BEACH ROAD,51.77,74.05,93.39
2024Q3,BEDOK NORTH STREET 1,-,132.65,-
2024Q3,BENCOOLEN STREET,116.19,133.33,207.83
2024Q3,BRAS BASAH ROAD,-,-,-
2024Q3,BROOKE ROAD,-,-,-
2024Q3,BUKIT TIMAH ROAD,92.4,96.11,111.43
2024Q3,CAVAN ROAD,-,67.14,-
2024Q3,CECIL STREET,135.66,173.32,230.47
2024Q3,CENTRAL BOULEVARD,144.86,170.62,196.21
2024Q3,CHANGI BUSINESS PARK CENTRAL 1,147.54,200.47,232.53
2024Q3,CHANGI ROAD,63.4,72.64,83.24
2024Q3,CHIN SWEE ROAD,-,94.44,-
2024Q3,CHOA CHU KANG AVENUE 4,266.84,342.8,645.29
2024Q3,CHOA CHU KANG NORTH 6,185.47,225.05,242.12
2024Q3,CHULIA STREET,-,-,-
2024Q3,CHURCH STREET,-,-,-
2024Q3,CLAYMORE DRIVE,-,83.33,-
2024Q3,CLEMENCEAU AVENUE,58,66.67,90
2024Q3,COLEMAN STREET,67.68,87.27,100
2024Q3,COLLYER QUAY,103.33,157.14,184.15
2024Q3,COMMONWEALTH AVENUE WEST,246.95,358.39,487.04
2024Q3,COMPASSVALE BOW,216.67,252.77,362.68
2024Q3,CROSS STREET,-,-,-
2024Q3,CUPPAGE ROAD,-,-,-
2024Q3,EAST COAST ROAD,62.08,73.91,124.65
2024Q3,EU TONG SEN STREET,59.49,79.5,96.96
2024Q3,FOCH ROAD,-,-,-
2024Q3,GEYLANG ROAD,64.77,115.35,185.84
2024Q3,GOLDHILL PLAZA,-,70.64,-
2024Q3,GOPENG STREET,124.59,133.16,153.67
2024Q3,GUILLEMARD ROAD,57.89,64.71,88.89
2024Q3,HARBOURFRONT PLACE,-,-,-
2024Q3,HAVELOCK ROAD,60.35,70.67,93.57
2024Q3,HIGH STREET,-,62.96,-
2024Q3,HOLLAND AVENUE,125,159.63,205.63
2024Q3,HONGKONG STREET,-,-,-
