YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-02,WEEKENDS/HOLIDAY,9,TRAIN,CG2,6546,9834
2025-02,WEEKENDS/HOLIDAY,23,TRAIN,DT25,285,1213
2025-02,WEEKDAY,15,TRAIN,TE5,2818,5021
2025-02,WEEKDAY,22,TRAIN,NS13,22003,58930
2025-02,WEEKDAY,21,TRAIN,DT30,2599,12628
2025-02,WEEKDAY,18,TRAIN,PE7,4531,11204
2025-02,WEEKDAY,19,TRAIN,PE4,1602,3816
2025-02,WEEKDAY,16,TRAIN,CC28,3161,4362
2025-02,WEEKDAY,18,TRAIN,CC27,57331,4134
2025-02,WEEKDAY,5,TRAIN,EW31,1174,1358
2025-02,WEEKENDS/HOLIDAY,6,TRAIN,DT25,827,390
2025-02,WEEKENDS/HOLIDAY,20,TRAIN,PW2,25,12
2025-02,WEEKENDS/HOLIDAY,9,TRAIN,SE1,2423,857
2025-02,WEEKDAY,9,TRAIN,SW6,5837,1881
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,CC27,1210,858
2025-02,WEEKDAY,17,TRAIN,NS20,125328,35154
2025-02,WEEKDAY,16,TRAIN,CC25,8600,6024
2025-02,WEEKENDS/HOLIDAY,0,TRAIN,PE6,30,296
2025-02,WEEKDAY,11,TRAIN,CC2,6502,13551
2025-02,WEEKENDS/HOLIDAY,10,TRAIN,TE5,2728,1053
2025-02,WEEKENDS/HOLIDAY,20,TRAIN,NE12/CC13,20659,24383
2025-02,WEEKENDS/HOLIDAY,15,TRAIN,EW7,6046,7044
2025-02,WEEKDAY,0,TRAIN,SW5,129,1146
2025-02,WEEKENDS/HOLIDAY,18,TRAIN,NS7,17138,12149
2025-02,WEEKENDS/HOLIDAY,11,TRAIN,TE16,4272,2769
2025-02,WEEKENDS/HOLIDAY,12,TRAIN,EW18,9067,6701
2025-02,WEEKENDS/HOLIDAY,22,TRAIN,CC16,828,1850
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,TE14/NS22,53701,44494
2025-02,WEEKDAY,20,TRAIN,TE1,7316,3939
2025-02,WEEKDAY,19,TRAIN,BP7,820,2399
2025-02,WEEKDAY,15,TRAIN,EW31,2955,562
2025-02,WEEKENDS/HOLIDAY,7,TRAIN,BP11,1474,338
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,NS24/NE6/CC1,2931,9156
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,CC28,1559,993
2025-02,WEEKDAY,7,TRAIN,PE4,6016,1656
2025-02,WEEKENDS/HOLIDAY,10,TRAIN,DT3,5129,1771
2025-02,WEEKENDS/HOLIDAY,11,TRAIN,EW8/CC9,23968,33019
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,TE7,2381,1989
2025-02,WEEKDAY,21,TRAIN,NS5,12822,37639
2025-02,WEEKENDS/HOLIDAY,20,TRAIN,CG2,11855,8340
2025-02,WEEKDAY,15,TRAIN,NS14,24832,26299
2025-02,WEEKDAY,16,TRAIN,SW3,2998,2736
2025-02,WEEKENDS/HOLIDAY,19,TRAIN,TE8,5074,4407
2025-02,WEEKENDS/HOLIDAY,22,TRAIN,CC7,1828,3037
2025-02,WEEKDAY,21,TRAIN,PW5,1051,5126
2025-02,WEEKDAY,17,TRAIN,EW27,89219,105405
2025-02,WEEKDAY,6,TRAIN,SW1,3025,5017
2025-02,WEEKDAY,0,TRAIN,TE22,39,51
2025-02,WEEKDAY,22,TRAIN,TE5,1304,6287
2025-02,WEEKDAY,19,TRAIN,CC25,12975,9900
2025-02,WEEKENDS/HOLIDAY,12,TRAIN,CC28,1818,1427
2025-02,WEEKENDS/HOLIDAY,11,TRAIN,CC20,2948,2222
2025-02,WEEKENDS/HOLIDAY,14,TRAIN,DT27,3287,3055
2025-02,WEEKDAY,14,TRAIN,PW2,57,81
2025-02,WEEKDAY,7,TRAIN,DT20,7039,9171
2025-02,WEEKENDS/HOLIDAY,17,TRAIN,SW1,1044,1370
2025-02,WEEKENDS/HOLIDAY,12,TRAIN,DT24,2062,1544
2025-02,WEEKENDS/HOLIDAY,18,TRAIN,EW9,11540,15253
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,NE17/PTC,21031,23236
2025-02,WEEKDAY,18,TRAIN,NS3,24402,64909
2025-02,WEEKDAY,11,TRAIN,EW16/NE3/TE17,37953,31166
2025-02,WEEKDAY,9,TRAIN,EW17,40868,26900
2025-02,WEEKDAY,9,TRAIN,TE23,5234,1397
2025-02,WEEKENDS/HOLIDAY,6,TRAIN,CC3,143,1289
2025-02,WEEKENDS/HOLIDAY,11,TRAIN,EW29,3116,2703
2025-02,WEEKENDS/HOLIDAY,23,TRAIN,SW1,121,211
2025-02,WEEKENDS/HOLIDAY,17,TRAIN,TE4,2930,2404
2025-02,WEEKENDS/HOLIDAY,21,TRAIN,CC6,10170,1032
2025-02,WEEKDAY,10,TRAIN,DT33,19214,4193
2025-02,WEEKENDS/HOLIDAY,18,TRAIN,BP10,1145,1761
2025-02,WEEKENDS/HOLIDAY,10,TRAIN,TE13,1848,2049
2025-02,WEEKDAY,20,TRAIN,EW4,9572,21179
2025-02,WEEKDAY,23,TRAIN,BP3,98,461
2025-02,WEEKENDS/HOLIDAY,14,TRAIN,TE8,5649,4432
2025-02,WEEKDAY,14,TRAIN,DT34,3627,4994
2025-02,WEEKDAY,21,TRAIN,TE12,3062,1611
2025-02,WEEKDAY,7,TRAIN,BP10,13431,2850
2025-02,WEEKENDS/HOLIDAY,21,TRAIN,DT23,1080,1145
2025-02,WEEKENDS/HOLIDAY,20,TRAIN,NE17/PTC,15486,18436
2025-02,WEEKENDS/HOLIDAY,23,TRAIN,SE2,125,1342
2025-02,WEEKDAY,21,TRAIN,NS8,10915,20313
2025-02,WEEKDAY,0,TRAIN,PE4,38,293
2025-02,WEEKENDS/HOLIDAY,11,TRAIN,EW19,8169,4946
2025-02,WEEKDAY,10,TRAIN,NS2,22839,14859
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,PE7,2277,478
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,DT20,3338,3008
2025-02,WEEKENDS/HOLIDAY,14,TRAIN,TE7,2479,2256
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,NS7,14068,13192
2025-02,WEEKDAY,19,TRAIN,CC23,51096,6543
2025-02,WEEKDAY,6,TRAIN,EW31,5445,11619
2025-02,WEEKENDS/HOLIDAY,13,TRAIN,EW22,2385,2494
2025-02,WEEKENDS/HOLIDAY,18,TRAIN,DT7,1780,2472
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,PW6,874,186
2025-02,WEEKENDS/HOLIDAY,17,TRAIN,CC28,1889,2034
2025-02,WEEKDAY,7,TRAIN,NS5,121987,43000
2025-02,WEEKDAY,16,TRAIN,PE5,5299,8026
2025-02,WEEKDAY,17,TRAIN,EW6,14191,20266
2025-02,WEEKDAY,6,TRAIN,EW30,1959,9473
2025-02,WEEKENDS/HOLIDAY,0,TRAIN,SE1,34,252
2025-02,WEEKENDS/HOLIDAY,22,TRAIN,NE13,3503,7541
2025-02,WEEKDAY,14,TRAIN,PE1,3901,3638
2025-02,WEEKDAY,12,TRAIN,PW4,4415,3515
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,NS27/CE2/TE20,369,854
2025-02,WEEKENDS/HOLIDAY,0,TRAIN,DT21,99,136
2025-02,WEEKDAY,19,TRAIN,EW28,27810,55000
2025-02,WEEKDAY,6,TRAIN,DT8,2518,6662
2025-02,WEEKDAY,15,TRAIN,SW1,4035,3248
2025-02,WEEKDAY,10,TRAIN,DT25,3384,2336
2025-02,WEEKENDS/HOLIDAY,22,TRAIN,EW30,339,785
2025-02,WEEKENDS/HOLIDAY,20,TRAIN,NS15,3439,4918
2025-02,WEEKENDS/HOLIDAY,12,TRAIN,BP5,1205,887
2025-02,WEEKDAY,7,TRAIN,NE13,47071,27344
2025-02,WEEKDAY,23,TRAIN,DT10,612,1428
2025-02,WEEKDAY,14,TRAIN,CC12,10643,6787
2025-02,WEEKENDS/HOLIDAY,10,TRAIN,EW3,8523,4415
2025-02,WEEKDAY,6,TRAIN,CC12,8239,8749
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,NS14,13668,12078
2025-02,WEEKDAY,22,TRAIN,BP8,1123,1232
2025-02,WEEKDAY,11,TRAIN,TE27,5278,3916
2025-02,WEEKDAY,9,TRAIN,NE17/PTC,55168,21369
2025-02,WEEKENDS/HOLIDAY,14,TRAIN,CC19/DT9,4722,4754
2025-02,WEEKENDS/HOLIDAY,5,TRAIN,NS28,10,0
2025-02,WEEKDAY,15,TRAIN,CG2,31869,18142
2025-02,WEEKDAY,16,TRAIN,CC12,9577,7337
2025-02,WEEKDAY,0,TRAIN,CC26,14,151
2025-02,WEEKENDS/HOLIDAY,22,TRAIN,BP7,73,325
2025-02,WEEKENDS/HOLIDAY,18,TRAIN,TE22,2749,5674
2025-02,WEEKENDS/HOLIDAY,5,TRAIN,PE6,364,49
2025-02,WEEKDAY,9,TRAIN,NS5,38868,14168
2025-02,WEEKDAY,23,TRAIN,TE28,404,1647
2025-02,WEEKDAY,22,TRAIN,TE7,1409,5352
2025-02,WEEKENDS/HOLIDAY,19,TRAIN,EW3,5833,9543
2025-02,WEEKENDS/HOLIDAY,21,TRAIN,PW6,155,543
2025-02,WEEKDAY,14,TRAIN,NS10,28498,29272
2025-02,WEEKDAY,9,TRAIN,BP5,2722,1799
2025-02,WEEKDAY,6,TRAIN,SE2,12740,904
2025-02,WEEKDAY,10,TRAIN,SW5,7235,4823
2025-02,WEEKDAY,10,TRAIN,DT22,8337,9131
2025-02,WEEKDAY,17,TRAIN,DT8,13476,7020
2025-02,WEEKENDS/HOLIDAY,20,TRAIN,BP3,804,2229
2025-02,WEEKENDS/HOLIDAY,20,TRAIN,EW26,7143,15580
2025-02,WEEKDAY,13,TRAIN,NE5,11378,14181
2025-02,WEEKDAY,11,TRAIN,NS10,34216,17289
2025-02,WEEKDAY,14,TRAIN,CC17/TE9,6971,6769
2025-02,WEEKENDS/HOLIDAY,15,TRAIN,NS20,15736,11207
2025-02,WEEKDAY,20,TRAIN,PW7,2219,4442
2025-02,WEEKDAY,5,TRAIN,SW3,1414,65
2025-02,WEEKENDS/HOLIDAY,21,TRAIN,NS18,2036,7433
2025-02,WEEKDAY,0,TRAIN,NS11,939,7505
2025-02,WEEKDAY,17,TRAIN,EW25,12876,23266
2025-02,WEEKENDS/HOLIDAY,10,TRAIN,EW28,13576,4759
2025-02,WEEKDAY,6,TRAIN,CC11,8490,21423
2025-02,WEEKENDS/HOLIDAY,18,TRAIN,NS9/TE2,25641,32859
2025-02,WEEKDAY,14,TRAIN,EW3,17359,17424
2025-02,WEEKENDS/HOLIDAY,11,TRAIN,DT6,3634,2152
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,CC14,2514,2703
2025-02,WEEKDAY,22,TRAIN,DT17,9970,2081
2025-02,WEEKDAY,23,TRAIN,NE17/PTC,4779,18341
2025-02,WEEKDAY,10,TRAIN,NS24/NE6/CC1,12731,32331
2025-02,WEEKDAY,23,TRAIN,SW4,246,1676
2025-02,WEEKENDS/HOLIDAY,18,TRAIN,BP11,1254,1779
2025-02,WEEKDAY,12,TRAIN,DT18,15660,18935
2025-02,WEEKDAY,21,TRAIN,NE1/CC29,80741,17736
2025-02,WEEKDAY,10,TRAIN,CC26,3012,3331
2025-02,WEEKDAY,22,TRAIN,CC27,2612,373
2025-02,WEEKDAY,9,TRAIN,NE12/CC13,87794,33939
2025-02,WEEKENDS/HOLIDAY,9,TRAIN,NS13,23661,12382
2025-02,WEEKDAY,19,TRAIN,EW1,22805,81328
2025-02,WEEKENDS/HOLIDAY,20,TRAIN,CC2,1158,1168
2025-02,WEEKDAY,0,TRAIN,EW3,109,2201
2025-02,WEEKENDS/HOLIDAY,18,TRAIN,DT28,4902,5391
2025-02,WEEKDAY,8,TRAIN,TE4,9926,12691
2025-02,WEEKDAY,22,TRAIN,EW21/CC22,25007,10550
2025-02,WEEKENDS/HOLIDAY,13,TRAIN,NS3,9622,7951
2025-02,WEEKENDS/HOLIDAY,15,TRAIN,PW1,1290,1399
2025-02,WEEKENDS/HOLIDAY,19,TRAIN,BP4,467,904
2025-02,WEEKDAY,18,TRAIN,EW18,54634,47335
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,TE23,1144,1708
2025-02,WEEKDAY,20,TRAIN,EW1,13942,46431
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,CC21,5021,4374
2025-02,WEEKDAY,5,TRAIN,EW23,5462,4300
2025-02,WEEKENDS/HOLIDAY,14,TRAIN,DT8,1428,1601
2025-02,WEEKENDS/HOLIDAY,12,TRAIN,EW1,14515,9889
2025-02,WEEKDAY,19,TRAIN,EW32,10732,6062
2025-02,WEEKDAY,17,TRAIN,NS2,43871,58387
2025-02,WEEKENDS/HOLIDAY,17,TRAIN,TE26,7493,6141
2025-02,WEEKENDS/HOLIDAY,19,TRAIN,TE7,1524,2537
2025-02,WEEKENDS/HOLIDAY,15,TRAIN,TE23,1153,1533
2025-02,WEEKDAY,11,TRAIN,SE3,2937,1396
2025-02,WEEKDAY,9,TRAIN,TE1,4165,17991
2025-02,WEEKDAY,0,TRAIN,NS3,250,2488
2025-02,WEEKDAY,23,TRAIN,PE5,233,3102
2025-02,WEEKDAY,7,TRAIN,SE2,22047,2884
2025-02,WEEKENDS/HOLIDAY,8,TRAIN,EW1,12222,5783
2025-02,WEEKENDS/HOLIDAY,7,TRAIN,DT21,607,1479
2025-02,WEEKENDS/HOLIDAY,7,TRAIN,EW8/CC9,6523,7307
2025-02,WEEKENDS/HOLIDAY,6,TRAIN,EW32,1926,1673
2025-02,WEEKENDS/HOLIDAY,16,TRAIN,DT31,3359,3510
2025-02,WEEKENDS/HOLIDAY,17,TRAIN,DT6,3774,2594
2025-02,WEEKENDS/HOLIDAY,22,TRAIN,EW15,6570,2817
2025-02,WEEKENDS/HOLIDAY,5,TRAIN,EW20,243,74
2025-02,WEEKDAY,5,TRAIN,EW9,5335,904
2025-02,WEEKENDS/HOLIDAY,21,TRAIN,PE3,884,2564
2025-02,WEEKDAY,20,TRAIN,NS13,36816,77493
2025-02,WEEKENDS/HOLIDAY,17,TRAIN,BP13,648,520
2025-02,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,8279,9258
2025-02,WEEKDAY,18,TRAIN,BP10,3598,10616
2025-02,WEEKENDS/HOLIDAY,7,TRAIN,EW3,4365,2343
2025-02,WEEKENDS/HOLIDAY,13,TRAIN,TE4,2616,2089
2025-02,WEEKENDS/HOLIDAY,0,TRAIN,CC6,49,18
2025-02,WEEKENDS/HOLIDAY,7,TRAIN,NS14,12857,5040
2025-02,WEEKENDS/HOLIDAY,22,TRAIN,EW8/CC9,11559,8914
2025-02,WEEKDAY,0,TRAIN,NE13,199,1633
2025-02,WEEKENDS/HOLIDAY,22,TRAIN,EW27,7568,18637
2025-02,WEEKDAY,6,TRAIN,NS8,48683,11754
2025-02,WEEKENDS/HOLIDAY,23,TRAIN,NE13,1491,4274
2025-02,WEEKENDS/HOLIDAY,14,TRAIN,BP4,678,687
2025-02,WEEKDAY,0,TRAIN,NS21/DT11,1397,1708
2025-02,WEEKENDS/HOLIDAY,23,TRAIN,SW2,234,733
2025-02,WEEKDAY,19,TRAIN,CC19/DT9,9942,9823
2025-02,WEEKDAY,22,TRAIN,EW6,3307,13395
2025-02,WEEKDAY,15,TRAIN,NE13,25589,23542
2025-02,WEEKENDS/HOLIDAY,21,TRAIN,NE15,3509,11102
