"Street (Destination)","inversed_weighted_diff_sum"
"AIRPORT BOULEVARD",0.000487631830092504
"ALBERT STREET",0.000711000712007822
"ALEXANDRA ROAD",0.000780519110491682
"ANG MO KIO AVENUE 3",0.000611918938205096
"ANSON ROAD",0.000766045762718552
"BALESTIER ROAD",0.000643515300659546
"BATTERY ROAD",0.0010956206213372
"BAYFRONT AVENUE",0.000912337284471377
"BEACH ROAD",0.000895858322682928
"BEDOK NORTH STREET 1",0.00059403541543691
"BEDOK ROAD",0.000499876081444991
"BENCOOLEN STREET",0.00069164567520154
"BIDADARI PARK DRIVE",0.000731271491594526
"BRAS BASAH ROAD",0.000821994116528298
"BROOKE ROAD",0.000514076515037532
"BUKIT TIMAH ROAD",0.000327264298637591
"CAVAN ROAD",0.000748180525757601
"CECIL STREET",0.000787121703658166
"CENTRAL BOULEVARD",0.000779864598398101
"CHANGI BUSINESS PARK CENTRAL 1",0.000454686310829577
"CHANGI ROAD",0.000602141735704076
"CHIN SWEE ROAD",0.00074561914635705
"CHOA CHU KANG AVENUE 4",0.000514474673595329
"CHOA CHU KANG NORTH 6",0.000707641689895463
"CLAYMORE DRIVE",0.000655084396050523
"CLEMENCEAU AVENUE",0.000780340329560178
"CLEMENTI AVENUE 3",0.000735042935910891
"COLEMAN STREET",0.000985860074785609
"COLLYER QUAY",0.00103860200568451
"COMMONWEALTH AVENUE WEST",0.000768673384022962
"COMPASSVALE BOW",0.000734321828917739
"CROSS STREET",0.00089359108655799
"CUSCADEN ROAD",0.00072573922358168
"EAST COAST ROAD",0.000456463417407949
"EASTWOOD ROAD",0.000506281036851896
"ENG HOON STREET",0.000726076386214566
"ENGGOR STREET",0.000721982147061307
"EU TONG SEN STREET",0.000900085387840177
"FOCH ROAD",0.000726160613287507
"GEYLANG ROAD",0.000633985671575802
"GOLDHILL PLAZA",0.000726821905378861
"GOPENG STREET",0.000798415745822496
"GUILLEMARD ROAD",0.000607133894564653
"HANDY ROAD",0.000903989055824364
"HAVELOCK ROAD",0.000676406923352045
"HIGH STREET",0.000831203762639358
"HOLLAND AVENUE",0.000808412812329362
"HOUGANG AVENUE 10",0.000568888365114089
"HOUGANG STREET 51",0.000542959635967661
"HOUGANG STREET 91",0.000523030763072452
"IRRAWADDY ROAD",0.000727831030275593
"JALAN ANAK BUKIT",0.000601030384443386
"JALAN BESAR",0.000703721057178175
"JALAN JURONG KECHIL",0.000621844270412071
"JALAN LEGUNDI",0.000548166085148767
"JALAN MASJID",0.000718423800388083
"JALAN SULTAN",0.000713497509895341
"JELEBU ROAD",0.000544879836794746
"JOO CHIAT ROAD",0.000548550500304433
"JOO KOON CIRCLE",0.000425181069162817
"JURONG EAST STREET 21",0.000600089332893339
"JURONG GATEWAY ROAD",0.000780800854492213
"JURONG WEST CENTRAL 2",0.000650181993684949
"JURONG WEST CENTRAL 3",0.000634366392104086
"KALLANG AVENUE",0.00069318011928018
"KELANTAN LANE",0.000679724528543295
"KEPPEL ROAD",0.000628281705292164
"KITCHENER ROAD",0.000702077975217252
"KOEK ROAD",0.00079331033900622
"LAVENDER STREET",0.000736460783864108
"LORONG 22 GEYLANG",0.000607983810566039
"LORONG 4 TOA PAYOH",0.00062247499762857
"LORONG KILAT",0.000617726738586318
"LORONG LIPUT",0.000717246791424949
"MACPHERSON ROAD",0.000623617595899138
"MAJU AVENUE",0.000623127210399247
"MARINA BOULEVARD",0.000616029083721488
"MARINA VIEW",0.00085206607049614
"MARINE PARADE ROAD",0.000504100851828658
"MARITIME SQUARE",0.000716601485334138
"MARKET STREET",0.00055164375673275
"MARNE ROAD",0.000761147756357749
"MERCHANT ROAD",0.000706838630417625
"MIDDLE ROAD",0.000711222073435851
"MOHAMED SULTAN ROAD",0.000623409676530709
"MOUNTBATTEN ROAD",0.00059390041684444
"NEW BRIDGE ROAD",0.000838740042780856
"NEW UPPER CHANGI ROAD",0.000541533220500321
"NORTH BRIDGE ROAD",0.000713857444224445
"NORTH BUONA VISTA DRIVE",0.000990303396822619
"NORTHPOINT DRIVE",0.00067400407416998
"OCEAN WAY",0.000274545824092435
"ORCHARD ROAD",NA
"ORCHARD TURN",0.000845648779865289
"OUTRAM ROAD",0.00100251653637224
"PASIR PANJANG ROAD",0.000659028876013871
"PASIR RIS CENTRAL",0.000479999261217344
"PASIR RIS CLOSE",0.000489780524207335
"PAYA LEBAR ROAD",0.000928732367410744
"PENANG ROAD",0.000863039816713099
"PETIR ROAD",0.000471938794314677
"PUNGGOL CENTRAL",0.000561787329107721
"QUEENSWAY",0.00077359667951326
"RACE COURSE ROAD",0.000666149609491945
"RAFFLES AVENUE",0.000677425870088747
"RAFFLES BOULEVARD",0.000713729207888091
"RAFFLES LINK",0.000940117509924855
"RAFFLES PLACE",0.00127561924597477
"RAFFLES QUAY",0.000906922383600843
"RANGOON ROAD",0.000684996723334632
"RIVER VALLEY ROAD",0.000663543324835688
"RIVERVALE CRESCENT",0.000563545362617916
"ROBERTSON QUAY",0.000583542359373584
"ROBINSON ROAD",0.000724042604803463
"ROCHOR CANAL ROAD",0.000802576210056318
"ROCHOR ROAD",0.000854654364951931
"SAM LEONG ROAD",0.000703768428342768
"SCOTTS ROAD",0.000720130906927458
"SELEGIE ROAD",0.00070986639382533
"SEMBAWANG DRIVE",0.000529352396161141
"SEMBAWANG ROAD",0.000644903933830337
"SENGKANG SQUARE",0.000674315789117557
"SENGKANG WEST AVENUE",0.00054782424909558
"SERANGOON CENTRAL",0.000759619865571377
"SERANGOON ROAD",0.000724933271653279
"SHENTON WAY",0.000830427915859582
"SIMS AVENUE",0.000781703672594295
"SIMS DRIVE",0.000601691362910906
"SIN MING ROAD",0.000582842768825669
"SINARAN DRIVE",0.000727453658874997
"SOMERSET ROAD",0.000931820328665066
"SOUTH BRIDGE ROAD",0.000797040217316293
"SOUTH BUONA VISTA ROAD",0.000505087577620872
"STADIUM WALK",0.00075856416889978
"STAMFORD ROAD",0.000881761025930099
"TAI SENG STREET",0.000783445282725211
"TAI THONG CRESCENT",0.000662849327810072
"TAMPINES CENTRAL 1",0.000584998496821997
"TAMPINES CENTRAL 5",0.0006416136105018
"TAMPINES STREET 32",0.000445771770045423
"TAN QUEE LAN STREET",0.000897321602657513
"TANGLIN ROAD",0.000693297977808678
"TANJONG KATONG ROAD",0.000610686130470333
"TELOK AYER STREET",0.000735068484185149
"TELOK KURAU ROAD",0.000525011614773839
"TEMASEK BOULEVARD",0.00079000244114377
"TESSENSOHN ROAD",0.000690667652946525
"THOMSON ROAD",0.000667002665430787
"TIONG BAHRU ROAD",0.000792113762355033
"TRAS STREET",0.000750239865274307
"UNITY STREET",0.000667790209751524
"UPPER BUKIT TIMAH ROAD",0.000563673898867152
"UPPER CIRCULAR ROAD",0.000846742705980123
"UPPER CROSS STREET",0.000810520448068888
"UPPER SERANGOON ROAD",0.000639290741304639
"UPPER THOMSON ROAD",0.000623187504765452
"VICTORIA STREET",0.000996783508285752
"WEST COAST DRIVE",0.000595322989513638
